kew_id,taxon_name_Stace,LIST,TAXONCITED,ACCEPTEDNAME,RK,2N/N,chromosome_count_2n,notes,unambiguous_match,matched_by_cit.,matched_by_acc.,match_to_subsp_etc.
86047-1,Arum italicum,Arum italicum L.,Arum neglectum (F.Towns.) Ridl.,Arum italicum ssp. neglectum (F.Towns.) Prime,34,2n=84,84,,n,n,y,y
86047-1,Arum italicum,Arum italicum L.,Arum neglectum (F.Towns.) Ridl.,Arum italicum ssp. neglectum (F.Towns.) Prime,34,2n=84,84,,n,n,y,y
86047-1,Arum italicum,Arum italicum L.,Arum neglectum (F.Towns.) Ridl.,Arum italicum ssp. neglectum (F.Towns.) Prime,34,2n=84,84,,n,n,y,y
86047-1,Arum italicum,Arum italicum L.,Arum neglectum (F.Towns.) Ridl.,Arum italicum ssp. neglectum (F.Towns.) Prime,34,2n=84,84,,n,n,y,y
17038650-1,Asplenium adiantum-nigrum,Asplenium adiantum-nigrum L.,"Asplenium cuneifolium sensu R.H.Roberts & A.McG.Stirl.et auct., non Viv.",Asplenium adiantum-nigrum L.,34,2n=4x,,4x,n,n,y,n
17038650-1,Asplenium adiantum-nigrum,Asplenium adiantum-nigrum L.,"Asplenium cuneifolium sensu R.H.Roberts & A.McG.Stirl.et auct., non Viv.",Asplenium adiantum-nigrum L.,34,2n=4x,,4x,n,n,y,n
17038650-1,Asplenium adiantum-nigrum,Asplenium adiantum-nigrum L.,"Asplenium cuneifolium sensu R.H.Roberts & A.McG.Stirl.et auct., non Viv.",Asplenium adiantum-nigrum L.,34,2n=4x,,4x,n,n,y,n
17038650-1,Asplenium adiantum-nigrum,Asplenium adiantum-nigrum L.,"Asplenium cuneifolium sensu R.H.Roberts & A.McG.Stirl.et auct., non Viv.",Asplenium adiantum-nigrum L.,34,2n=c.140,,c.140,n,n,y,n
17038650-1,Asplenium adiantum-nigrum,Asplenium adiantum-nigrum L.,Asplenium adiantum-nigrum ssp. adiantum-nigrum ,Asplenium adiantum-nigrum L.,36,2n=144,144,,n,n,y,n
17038650-1,Asplenium adiantum-nigrum,Asplenium adiantum-nigrum L.,"Asplenium cuneifolium sensu R.H.Roberts & A.McG.Stirl.et auct., non Viv.",Asplenium adiantum-nigrum L.,34,2n=144,144,,n,n,y,n
17038650-1,Asplenium adiantum-nigrum,Asplenium adiantum-nigrum L.,"Asplenium cuneifolium sensu R.H.Roberts & A.McG.Stirl.et auct., non Viv.",Asplenium adiantum-nigrum L.,34,2n=144,144,,n,n,y,n
17038650-1,Asplenium adiantum-nigrum,Asplenium adiantum-nigrum L.,"Asplenium cuneifolium sensu R.H.Roberts & A.McG.Stirl.et auct., non Viv.",Asplenium adiantum-nigrum L.,34,2n=144,144,,n,n,y,n
17038650-1,Asplenium adiantum-nigrum,Asplenium adiantum-nigrum L.,"Asplenium cuneifolium sensu R.H.Roberts & A.McG.Stirl.et auct., non Viv.",Asplenium adiantum-nigrum L.,34,2n=144,144,,n,n,y,n
17040860-1,Asplenium ceterach,Asplenium ceterach L.,Ceterach officinarum Willd.,Asplenium ceterach L.,34,2n=144,144,,n,n,y,n
17040860-1,Asplenium ceterach,Asplenium ceterach L.,Ceterach officinarum Willd.,Asplenium ceterach L.,34,2n=144,144,,n,n,y,n
17304140-1,Asplenium obovatum,Asplenium obovatum Viv.,Asplenium billotii F.W.Schultz,Asplenium obovatum ssp. lanceolatum (Fiori) P.Silva,34,2n=144,144,,n,n,y,y
17304140-1,Asplenium obovatum,Asplenium obovatum Viv.,"Asplenium lanceolatum Huds., non Forssk.",Asplenium obovatum ssp. lanceolatum (Fiori) P.Silva,34,2n=144,144,,n,n,y,y
30216020-2,Asplenium scolopendrium,Asplenium scolopendrium L.,Phyllitis scolopendrium (L.) Newman,Asplenium scolopendrium L.,34,2n=c.72,,c.72,n,n,y,n
30216020-2,Asplenium scolopendrium,Asplenium scolopendrium L.,Phyllitis scolopendrium (L.) Newman,Asplenium scolopendrium L.,34,2n=72,72,,n,n,y,n
30216020-2,Asplenium scolopendrium,Asplenium scolopendrium L.,Phyllitis scolopendrium (L.) Newman,Asplenium scolopendrium L.,34,2n=72,72,,n,n,y,n
30216020-2,Asplenium scolopendrium,Asplenium scolopendrium L.,Scolopendrium vulgare Sm.,Asplenium scolopendrium L.,34,2n=72,72,,n,n,y,n
30216020-2,Asplenium scolopendrium,Asplenium scolopendrium L.,Scolopendrium vulgare Sm.,Asplenium scolopendrium L.,34,2n=72,72,,n,n,y,n
30055316-2,Athyrium filix-femina,Athyrium filix-femina (L.) Roth,Athyrium alpestre Clairv.,Athyrium filix-femina (L.) Roth,34,2n=80,80,,n,n,y,n
164072-1,Atriplex portulacoides,Atriplex portulacoides L.,Halimione portulacoides (L.) Aellen,Atriplex portulacoides L.,34,2n=36,36,,n,n,y,n
60448217-2,Atriplex prostrata,Atriplex prostrata Boucher ex DC. ,"Atriplex hastata sensu L.(1754), non L.(1753)",Atriplex prostrata Boucher ex DC.,34,2n=18,18,,n,n,y,n
60448217-2,Atriplex prostrata,Atriplex prostrata Boucher ex DC. ,"Atriplex hastata sensu L.(1754), non L.(1753)",Atriplex prostrata Boucher ex DC.,34,2n=18,18,,n,n,y,n
60448217-2,Atriplex prostrata,Atriplex prostrata Boucher ex DC. ,"Atriplex hastata sensu L.(1754), non L.(1753)",Atriplex prostrata Boucher ex DC.,34,2n=18,18,,n,n,y,n
60448217-2,Atriplex prostrata,Atriplex prostrata Boucher ex DC. ,"Atriplex hastata sensu L.(1754), non L.(1753)",Atriplex prostrata Boucher ex DC.,34,2n=18,18,,n,n,y,n
60448217-2,Atriplex prostrata,Atriplex prostrata Boucher ex DC. ,"Atriplex hastata sensu L.(1754), non L.(1753)",Atriplex prostrata Boucher ex DC.,34,2n=18,18,,n,n,y,n
60448217-2,Atriplex prostrata,Atriplex prostrata Boucher ex DC. ,"Atriplex hastata sensu L.(1754), non L.(1753)",Atriplex prostrata Boucher ex DC.,34,2n=18,18,,n,n,y,n
60448217-2,Atriplex prostrata,Atriplex prostrata Boucher ex DC. ,"Atriplex hastata sensu L.(1754), non L.(1753)",Atriplex prostrata Boucher ex DC.,34,2n=18,18,,n,n,y,n
60448217-2,Atriplex prostrata,Atriplex prostrata Boucher ex DC. ,"Atriplex hastata sensu L.(1754), non L.(1753)",Atriplex prostrata Boucher ex DC.,34,2n=18,18,,n,n,y,n
60448217-2,Atriplex prostrata,Atriplex prostrata Boucher ex DC. ,Atriplex triangularis Willd.,Atriplex prostrata Boucher ex DC.,34,2n=18,18,,n,n,y,n
391947-1,Avenella flexuosa,Avenella flexuosa (L.) Drejer,Deschampsia flexuosa (L.) Trin.,Avenella flexuosa (L.) Drejer,34,2n=14,14,,n,n,y,n
391947-1,Avenella flexuosa,Avenella flexuosa (L.) Drejer,Deschampsia flexuosa (L.) Trin.,Avenella flexuosa (L.) Drejer,34,2n=28,28,,n,n,y,n
164515-1,Blitum bonus-henricus,Blitum bonus-henricus (L.) Rchb.,Chenopodium bonus-henricus L.,Blitum bonus-henricus (L.) Rchb.,34,2n=36,36,,n,n,y,n
279485-1,Brassica rapa,Brassica rapa L.,Brassica campestris L.,Brassica rapa ssp. campestris (L.) A.R.Clapham,34,2n=20,20,,n,n,y,y
279485-1,Brassica rapa,Brassica rapa L.,Brassica campestris L.,Brassica rapa ssp. campestris (L.) A.R.Clapham,34,2n=20,20,,n,n,y,y
30016331-2,Bromus hordeaceus,Bromus hordeaceus L.,Bromus ferronii Mabille,Bromus hordeaceus ssp. ferronii (Mabille) P.M.Sm.,34,2n=28,28,,n,n,y,y
140828-1,Campanula persicifolia,Campanula persicifolia L.,Campanula persicifolia var. maxima ,Campanula persicifolia L.,37,2n=32,32,,n,n,y,n
