kew_id,taxon_name_Stace,LIST,TAXONCITED,ACCEPTEDNAME,RK,2N/N,chromosome_count_2n,notes,unambiguous_match,matched_by_cit.,matched_by_acc.,match_to_subsp_etc.
158590-1,Silene uniflora,Silene uniflora Roth,Silene maritima With.,Silene uniflora Roth,34,2n=24,24,,n,n,y,n
158590-1,Silene uniflora,Silene uniflora Roth,Silene maritima With.,Silene uniflora Roth,34,2n=24,24,,n,n,y,n
158590-1,Silene uniflora,Silene uniflora Roth,Silene maritima With.,Silene uniflora Roth,34,2n=24,24,,n,n,y,n
158590-1,Silene uniflora,Silene uniflora Roth,Silene maritima With.,Silene uniflora Roth,34,2n=24,24,,n,n,y,n
158590-1,Silene uniflora,Silene uniflora Roth,Silene maritima With.,Silene uniflora Roth,34,2n=24,24,,n,n,y,n
158590-1,Silene uniflora,Silene uniflora Roth,Silene maritima With.,Silene uniflora Roth,34,2n=24,24,,n,n,y,n
158590-1,Silene uniflora,Silene uniflora Roth,Silene maritima With.,Silene uniflora Roth,34,2n=24,24,,n,n,y,n
158590-1,Silene uniflora,Silene uniflora Roth,Silene maritima With.,Silene uniflora Roth,34,2n=24,24,,n,n,y,n
158590-1,Silene uniflora,Silene uniflora Roth,Silene maritima With.,Silene uniflora Roth,34,2n=24,24,,n,n,y,n
158590-1,Silene uniflora,Silene uniflora Roth,Silene maritima With.,Silene uniflora Roth,34,2n=24,24,,n,n,y,n
158590-1,Silene uniflora,Silene uniflora Roth,Silene maritima With.,Silene uniflora Roth,34,2n=24,24,,n,n,y,n
158590-1,Silene uniflora,Silene uniflora Roth,Silene maritima With.,Silene uniflora Roth,34,2n=24,24,,n,n,y,n
158590-1,Silene uniflora,Silene uniflora Roth,Silene maritima With.,Silene uniflora Roth,34,2n=24,24,,n,n,y,n
158590-1,Silene uniflora,Silene uniflora Roth,Silene maritima With.,Silene uniflora Roth,34,2n=24,24,,n,n,y,n
158590-1,Silene uniflora,Silene uniflora Roth,Silene maritima With.,Silene uniflora Roth,34,2n=24,24,,n,n,y,n
158590-1,Silene uniflora,Silene uniflora Roth,Silene maritima With.,Silene uniflora Roth,34,2n=24,24,,n,n,y,n
158590-1,Silene uniflora,Silene uniflora Roth,Silene maritima With.,Silene uniflora Roth,34,2n=24,24,,n,n,y,n
158590-1,Silene uniflora,Silene uniflora Roth,Silene maritima With.,Silene uniflora Roth,34,2n=24,24,,n,n,y,n
158590-1,Silene uniflora,Silene uniflora Roth,Silene maritima With.,Silene uniflora Roth,34,2n=24,24,,n,n,y,n
158590-1,Silene uniflora,Silene uniflora Roth,Silene maritima With.,Silene uniflora Roth,34,2n=24,24,,n,n,y,n
158590-1,Silene uniflora,Silene uniflora Roth,Silene maritima With.,Silene uniflora Roth,34,2n=24,24,,n,n,y,n
158590-1,Silene uniflora,Silene uniflora Roth,Silene maritima With.,Silene uniflora Roth,34,2n=24,24,,n,n,y,n
158590-1,Silene uniflora,Silene uniflora Roth,Silene maritima With.,Silene uniflora Roth,34,2n=24,24,,n,n,y,n
158590-1,Silene uniflora,Silene uniflora Roth,Silene maritima With.,Silene uniflora Roth,34,2n=24,24,,n,n,y,n
158590-1,Silene uniflora,Silene uniflora Roth,Silene maritima With.,Silene uniflora Roth,34,2n=24,24,,n,n,y,n
158590-1,Silene uniflora,Silene uniflora Roth,Silene maritima With.,Silene uniflora Roth,34,2n=24,24,,n,n,y,n
158590-1,Silene uniflora,Silene uniflora Roth,Silene maritima With.,Silene uniflora Roth,34,2n=24,24,,n,n,y,n
158590-1,Silene uniflora,Silene uniflora Roth,Silene vulgaris ssp. maritima (With.) Á.Löve & D.Löve,Silene uniflora Roth,36,2n=24,24,,n,n,y,n
158668-1,Silene vulgaris,Silene vulgaris (Moench) Garcke,Silene cucubalus Wibel,Silene vulgaris ssp. vulgaris ,34,2n=24,24,,n,n,y,y
288960-1,Sinapis arvensis,Sinapis arvensis L.,Brassica sinapistrum Boiss.,Sinapis arvensis L.,34,2n=18,18,,n,n,y,n
440950-1,Sisyrinchium bermudiana,Sisyrinchium bermudiana L.,Sisyrinchium angustifolium Mill.,Sisyrinchium bermudiana L.,34,2n=64,64,,n,n,y,n
422425-1,Spartina alterniflora,Spartina alterniflora Loisel.,Spartina glabra Muhl. ex Bigelow,Spartina alterniflora Loisel.,34,2n=62,62,,n,n,y,n
422426-1,Spartina anglica,Spartina anglica C.E. Hubb.,Spartina townsendii fm. donegalensis P.Boyle,Spartina anglica C.E.Hubb.,38,2n=120,120,,n,n,y,n
422426-1,Spartina anglica,Spartina anglica C.E. Hubb.,"Spartina townsendii (seed-producing) sensu Boyle, non H.& J,Groves",Spartina anglica C.E.Hubb.,34,2n=124,124,,n,n,y,n
241121-2,Spartina maritima,Spartina maritima (Curtis) Fernald,Spartina stricta (Aiton) Roth,Spartina maritima (Curtis) Fernald,34,2n=56,56,,n,n,y,n
158725-1,Spergula arvensis,Spergula arvensis L.,Spergula arvensis var. sativa (Boenn.) Mert. & W.D.J.Koch,Spergula arvensis L.,37,2n=18,18,,n,n,y,n
158725-1,Spergula arvensis,Spergula arvensis L.,Spergula arvensis var. vulgaris (Boenn.) Mert. & W.D.J.Koch,Spergula arvensis L.,37,2n=18,18,,n,n,y,n
158777-1,Spergula morisonii,Spergula morisonii Boreau,"Spergula vernalis sensu Pugsley et auct., non Willd.",Spergula morisonii Boreau,34,2n=18,18,,n,n,y,n
1019502-1,Spergularia media,Spergularia media (L.) C.Presl,Spergularia marginata var. aptera (E.S.Marshall),Spergularia media var. aptera (E.S.Marshall) P.D.Sell,37,2n=18,18,,n,n,y,y
1019502-1,Spergularia media,Spergularia media (L.) C.Presl,Spergularia marginata var. aptera (E.S.Marshall),Spergularia media var. aptera (E.S.Marshall) P.D.Sell,37,2n=18,18,,n,n,y,y
1019502-1,Spergularia media,Spergularia media (L.) C.Presl,Spergularia marginata var. aptera (E.S.Marshall),Spergularia media var. aptera (E.S.Marshall) P.D.Sell,37,2n=18,18,,n,n,y,y
1019502-1,Spergularia media,Spergularia media (L.) C.Presl,Spergularia marginata var. aptera (E.S.Marshall),Spergularia media var. aptera (E.S.Marshall) P.D.Sell,37,2n=18,18,,n,n,y,y
30197752-2,Stellaria alsine,Stellaria alsine Grimm,Stellaria uliginosa Murray,Stellaria alsine Grimm,34,2n=24,24,,n,n,y,n
159056-1,Stellaria aquatica,Stellaria aquatica (L.) Scop.,Myosoton aquaticum (L.) Moench,Stellaria aquatica (L.) Scop.,34,2n=28,28,,n,n,y,n
983852-1,Stellaria pallida,Stellaria pallida (Dumort.) Crép.,"Stellaria apetala auct., non Ucria ex Roem.",Stellaria pallida (Dumort.) Crép.,34,2n=22,22,,n,n,y,n
253011-1,Taraxacum ceratolobum,Taraxacum ceratolobum Dahlst.,"Taraxacum croceum sensu A.J.Richards, non Dahlst.",Taraxacum ceratolobum Dahlst.,34,2n=32,32,,n,n,y,n
255226-1,Tephroseris integrifolia,Tephroseris integrifolia (L.) Holub,Senecio integrifolius (L.) Clairv.,Tephroseris integrifolia (L.) Holub,34,2n=48,48,,n,n,y,n
20010350-1,Trifolium ornithopodioides,Trifolium ornithopodioides L.,Trigonella ornithopodioides (L.) DC.,Trifolium ornithopodioides L.,34,2n=18,18,,n,n,y,n
256563-1,Tripolium pannonicum,Tripolium pannonicum (Jacq.) Dobrocz.,Aster tripolium L.,Tripolium pannonicum (Jacq.) Dobrocz.,34,2n=18,18,,n,n,y,n
256563-1,Tripolium pannonicum,Tripolium pannonicum (Jacq.) Dobrocz.,Aster tripolium L.,Tripolium pannonicum (Jacq.) Dobrocz.,34,2n=18,18,,n,n,y,n
256563-1,Tripolium pannonicum,Tripolium pannonicum (Jacq.) Dobrocz.,Aster tripolium L.,Tripolium pannonicum (Jacq.) Dobrocz.,34,2n=18,18,,n,n,y,n
256563-1,Tripolium pannonicum,Tripolium pannonicum (Jacq.) Dobrocz.,Aster tripolium L.,Tripolium pannonicum (Jacq.) Dobrocz.,34,2n=18,18,,n,n,y,n
256563-1,Tripolium pannonicum,Tripolium pannonicum (Jacq.) Dobrocz.,Aster tripolium L.,Tripolium pannonicum (Jacq.) Dobrocz.,34,2n=18,18,,n,n,y,n
256563-1,Tripolium pannonicum,Tripolium pannonicum (Jacq.) Dobrocz.,Aster tripolium L.,Tripolium pannonicum (Jacq.) Dobrocz.,34,2n=18,18,,n,n,y,n
256563-1,Tripolium pannonicum,Tripolium pannonicum (Jacq.) Dobrocz.,Aster tripolium L.,Tripolium pannonicum (Jacq.) Dobrocz.,34,2n=18,18,,n,n,y,n
256563-1,Tripolium pannonicum,Tripolium pannonicum (Jacq.) Dobrocz.,Aster tripolium L.,Tripolium pannonicum (Jacq.) Dobrocz.,34,2n=18,18,,n,n,y,n
256563-1,Tripolium pannonicum,Tripolium pannonicum (Jacq.) Dobrocz.,Aster tripolium L.,Tripolium pannonicum (Jacq.) Dobrocz.,34,2n=18,18,,n,n,y,n
256563-1,Tripolium pannonicum,Tripolium pannonicum (Jacq.) Dobrocz.,Aster tripolium L.,Tripolium pannonicum (Jacq.) Dobrocz.,34,2n=18,18,,n,n,y,n
256563-1,Tripolium pannonicum,Tripolium pannonicum (Jacq.) Dobrocz.,Aster tripolium L.,Tripolium pannonicum (Jacq.) Dobrocz.,34,2n=18,18,,n,n,y,n
256563-1,Tripolium pannonicum,Tripolium pannonicum (Jacq.) Dobrocz.,Aster tripolium L.,Tripolium pannonicum (Jacq.) Dobrocz.,34,2n=18,18,,n,n,y,n
256563-1,Tripolium pannonicum,Tripolium pannonicum (Jacq.) Dobrocz.,Aster tripolium L.,Tripolium pannonicum (Jacq.) Dobrocz.,34,2n=18,18,,n,n,y,n
256563-1,Tripolium pannonicum,Tripolium pannonicum (Jacq.) Dobrocz.,Aster tripolium var. arctium Fr.,Tripolium pannonicum ssp. tripolium (L.) Greuter,37,2n=18,18,,n,n,y,y
256563-1,Tripolium pannonicum,Tripolium pannonicum (Jacq.) Dobrocz.,Aster tripolium var. discoideus Rchb.f.,Tripolium pannonicum var. discoideus (Rchb.f.) comb.nov.,37,2n=18,18,,n,n,y,y
290916-1,Turritis glabra,Turritis glabra L.,Arabis glabra (L.) Bernh.,Turritis glabra L.,34,2n=12,12,,n,n,y,n
856890-1,Ulmus minor,Ulmus minor Mill.,Ulmus nitens Moench,Ulmus minor Mill.,34,2n=28,28,,n,n,y,n
260630-2,Urtica dioica,Urtica dioica L.,Urtica galeopsifolia Wierzb. ex Opiz,Urtica dioica ssp. galeopsifolia (Wierzb. ex Opiz) Chrtek,34,2n=c.26,,c.26,n,n,y,y
260630-2,Urtica dioica,Urtica dioica L.,Urtica galeopsifolia Wierzb. ex Opiz,Urtica dioica ssp. galeopsifolia (Wierzb. ex Opiz) Chrtek,34,2n=c.26,,c.26,n,n,y,y
260630-2,Urtica dioica,Urtica dioica L.,Urtica galeopsifolia Wierzb. ex Opiz,Urtica dioica ssp. galeopsifolia (Wierzb. ex Opiz) Chrtek,34,2n=c.26,,c.26,n,n,y,y
812650-1,Veronica serpyllifolia,Veronica serpyllifolia L.,Veronica humifusa Dicks.,Veronica serpyllifolia ssp. humifusa (Dickson) Syme,34,2n=14,14,,n,n,y,y
525117-1,Vicia sativa,Vicia sativa L.,Vicia angustifolia L.,Vicia sativa ssp. nigra (L.) Ehrh.,34,2n=12,12,,n,n,y,y
525117-1,Vicia sativa,Vicia sativa L.,Vicia angustifolia L.,Vicia sativa ssp. nigra (L.) Ehrh.,34,2n=12,12,,n,n,y,y
525117-1,Vicia sativa,Vicia sativa L.,Vicia angustifolia L.,Vicia sativa ssp. nigra (L.) Ehrh.,34,2n=12,12,,n,n,y,y
525117-1,Vicia sativa,Vicia sativa L.,Vicia angustifolia L.,Vicia sativa ssp. nigra (L.) Ehrh.,34,2n=12,12,,n,n,y,y
525117-1,Vicia sativa,Vicia sativa L.,Vicia angustifolia L.,Vicia sativa ssp. nigra (L.) Ehrh.,34,2n=12,12,,n,n,y,y
525117-1,Vicia sativa,Vicia sativa L.,Vicia angustifolia L.,Vicia sativa ssp. nigra (L.) Ehrh.,34,2n=12,12,,n,n,y,y
525117-1,Vicia sativa,Vicia sativa L.,Vicia angustifolia L.,Vicia sativa ssp. nigra (L.) Ehrh.,34,2n=12,12,,n,n,y,y
525117-1,Vicia sativa,Vicia sativa L.,Vicia segetalis Thuill.,Vicia sativa ssp. segetalis (Thuill.) Gaudin,34,2n=12,12,,n,n,y,y
525117-1,Vicia sativa,Vicia sativa L.,Vicia segetalis Thuill.,Vicia sativa ssp. segetalis (Thuill.) Gaudin,34,2n=12,12,,n,n,y,y
525117-1,Vicia sativa,Vicia sativa L.,Vicia segetalis Thuill.,Vicia sativa ssp. segetalis (Thuill.) Gaudin,34,2n=12,12,,n,n,y,y
525117-1,Vicia sativa,Vicia sativa L.,Vicia segetalis Thuill.,Vicia sativa ssp. segetalis (Thuill.) Gaudin,34,2n=12,12,,n,n,y,y
525117-1,Vicia sativa,Vicia sativa L.,Vicia segetalis Thuill.,Vicia sativa ssp. segetalis (Thuill.) Gaudin,34,2n=12,12,,n,n,y,y
525117-1,Vicia sativa,Vicia sativa L.,Vicia segetalis Thuill.,Vicia sativa ssp. segetalis (Thuill.) Gaudin,34,2n=12,12,,n,n,y,y
525117-1,Vicia sativa,Vicia sativa L.,Vicia segetalis Thuill.,Vicia sativa ssp. segetalis (Thuill.) Gaudin,34,2n=12,12,,n,n,y,y
525117-1,Vicia sativa,Vicia sativa L.,Vicia segetalis Thuill.,Vicia sativa ssp. segetalis (Thuill.) Gaudin,34,2n=12,12,,n,n,y,y
525117-1,Vicia sativa,Vicia sativa L.,Vicia segetalis Thuill.,Vicia sativa ssp. segetalis (Thuill.) Gaudin,34,2n=12,12,,n,n,y,y
525117-1,Vicia sativa,Vicia sativa L.,Vicia segetalis Thuill.,Vicia sativa ssp. segetalis (Thuill.) Gaudin,34,2n=12,12,,n,n,y,y
525117-1,Vicia sativa,Vicia sativa L.,Vicia segetalis Thuill.,Vicia sativa ssp. segetalis (Thuill.) Gaudin,34,2n=12,12,,n,n,y,y
525117-1,Vicia sativa,Vicia sativa L.,Vicia segetalis Thuill.,Vicia sativa ssp. segetalis (Thuill.) Gaudin,34,2n=12,12,,n,n,y,y
525117-1,Vicia sativa,Vicia sativa L.,Vicia segetalis Thuill.,Vicia sativa ssp. segetalis (Thuill.) Gaudin,34,2n=12,12,,n,n,y,y
525117-1,Vicia sativa,Vicia sativa L.,Vicia segetalis Thuill.,Vicia sativa ssp. segetalis (Thuill.) Gaudin,34,2n=12,12,,n,n,y,y
525117-1,Vicia sativa,Vicia sativa L.,Vicia segetalis Thuill.,Vicia sativa ssp. segetalis (Thuill.) Gaudin,34,2n=12,12,,n,n,y,y
525117-1,Vicia sativa,Vicia sativa L.,Vicia segetalis Thuill.,Vicia sativa ssp. segetalis (Thuill.) Gaudin,34,2n=12,12,,n,n,y,y
525117-1,Vicia sativa,Vicia sativa L.,Vicia segetalis Thuill.,Vicia sativa ssp. segetalis (Thuill.) Gaudin,34,2n=12,12,,n,n,y,y
525117-1,Vicia sativa,Vicia sativa L.,Vicia segetalis Thuill.,Vicia sativa ssp. segetalis (Thuill.) Gaudin,34,2n=12,12,,n,n,y,y
525117-1,Vicia sativa,Vicia sativa L.,Vicia segetalis Thuill.,Vicia sativa ssp. segetalis (Thuill.) Gaudin,34,2n=12,12,,n,n,y,y
525117-1,Vicia sativa,Vicia sativa L.,Vicia segetalis Thuill.,Vicia sativa ssp. segetalis (Thuill.) Gaudin,34,2n=12,12,,n,n,y,y
291320-2,Viola arvensis,Viola arvensis Murray,Viola segetalis Jord.,Viola arvensis var. segetalis (Jord.) P.D.Sell,34,2n=26,26,,n,n,y,y
291320-2,Viola arvensis,Viola arvensis Murray,Viola arvensis/tricolor intermediate sensu A.Pettet,Viola arvensis var. contempta (Jord.) comb.nov.,34,2n=34,34,,n,n,y,y
291320-2,Viola arvensis,Viola arvensis Murray,Viola arvensis/tricolor intermediate sensu A.Pettet,Viola arvensis var. contempta (Jord.) comb.nov.,34,2n=34,34,,n,n,y,y
291320-2,Viola arvensis,Viola arvensis Murray,Viola arvensis/tricolor intermediate sensu A.Pettet,Viola arvensis var. contempta (Jord.) comb.nov.,34,2n=34,34,,n,n,y,y
291320-2,Viola arvensis,Viola arvensis Murray,Viola arvensis/tricolor intermediate sensu A.Pettet,Viola arvensis var. contempta (Jord.) comb.nov.,34,2n=34,34,,n,n,y,y
291320-2,Viola arvensis,Viola arvensis Murray,Viola arvensis/tricolor intermediate sensu A.Pettet,Viola arvensis var. contempta (Jord.) comb.nov.,34,2n=34,34,,n,n,y,y
291320-2,Viola arvensis,Viola arvensis Murray,Viola arvensis/tricolor intermediate sensu A.Pettet,Viola arvensis var. contempta (Jord.) comb.nov.,34,2n=34,34,,n,n,y,y
291320-2,Viola arvensis,Viola arvensis Murray,Viola arvensis/tricolor intermediate sensu A.Pettet,Viola arvensis var. contempta (Jord.) comb.nov.,34,2n=34,34,,n,n,y,y
291320-2,Viola arvensis,Viola arvensis Murray,Viola arvensis/tricolor intermediate sensu A.Pettet,Viola arvensis var. contempta (Jord.) comb.nov.,34,2n=34,34,,n,n,y,y
291320-2,Viola arvensis,Viola arvensis Murray,Viola deseglisei Jord. ex Boreau,Viola arvensis var. deseglisei (Jord. ex Boreau) P.D.Sell,34,2n=34,34,,n,n,y,y
291320-2,Viola arvensis,Viola arvensis Murray,Viola deseglisei Jord. ex Boreau,Viola arvensis var. deseglisei (Jord. ex Boreau) P.D.Sell,34,2n=34,34,,n,n,y,y
291320-2,Viola arvensis,Viola arvensis Murray,Viola obtusifolia Jord.,Viola arvensis var. obtusifolia (Jord.) Drabble,34,2n=34,34,,n,n,y,y
291320-2,Viola arvensis,Viola arvensis Murray,Viola contempta Jord.,Viola arvensis var. contempta (Jord.) comb.nov.,34,2n=40,40,,n,n,y,y
868446-1,Viola kitaibeliana,Viola kitaibeliana Schult.,Viola nana (DC.) Godr.,Viola kitaibeliana Schult.,34,2n=48,48,,n,n,y,n
868446-1,Viola kitaibeliana,Viola kitaibeliana Schult.,Viola nana (DC.) Godr.,Viola kitaibeliana Schult.,34,2n=48,48,,n,n,y,n
868446-1,Viola kitaibeliana,Viola kitaibeliana Schult.,Viola nana (DC.) Godr.,Viola kitaibeliana Schult.,34,2n=48,48,,n,n,y,n
868446-1,Viola kitaibeliana,Viola kitaibeliana Schult.,Viola nana (DC.) Godr.,Viola kitaibeliana Schult.,34,2n=48,48,,n,n,y,n
868446-1,Viola kitaibeliana,Viola kitaibeliana Schult.,Viola nana (DC.) Godr.,Viola kitaibeliana Schult.,34,2n=48,48,,n,n,y,n
868446-1,Viola kitaibeliana,Viola kitaibeliana Schult.,Viola nana (DC.) Godr.,Viola kitaibeliana Schult.,34,2n=48,48,,n,n,y,n
868446-1,Viola kitaibeliana,Viola kitaibeliana Schult.,Viola nana (DC.) Godr.,Viola kitaibeliana Schult.,34,2n=50,50,,n,n,y,n
868582-1,Viola lutea,Viola lutea Huds.,Viola lutea ssp. lutea ,Viola lutea Huds.,36,2n=48,48,,n,n,y,n
868582-1,Viola lutea,Viola lutea Huds.,Viola lutea ssp. lutea ,Viola lutea Huds.,36,2n=48,48,,n,n,y,n
869428-1,Viola tricolor,Viola tricolor L.,Viola variata var. sulphurea Drabble,Viola tricolor L.,37,2n=26 +2s,,26 +2s,n,n,y,n
869428-1,Viola tricolor,Viola tricolor L.,Viola variata var. sulphurea Drabble,Viola tricolor L.,37,2n=26,26,,n,n,y,n
869428-1,Viola tricolor,Viola tricolor L.,Viola curtisii E.Forst.,Viola tricolor ssp. curtisii (E.Forst.) Syme,34,2n=26,26,,n,n,y,y
869428-1,Viola tricolor,Viola tricolor L.,Viola curtisii E.Forst.,Viola tricolor ssp. curtisii (E.Forst.) Syme,34,2n=26,26,,n,n,y,y
869428-1,Viola tricolor,Viola tricolor L.,Viola curtisii E.Forst.,Viola tricolor ssp. curtisii (E.Forst.) Syme,34,2n=26,26,,n,n,y,y
869428-1,Viola tricolor,Viola tricolor L.,Viola curtisii E.Forst.,Viola tricolor ssp. curtisii (E.Forst.) Syme,34,2n=26,26,,n,n,y,y
869428-1,Viola tricolor,Viola tricolor L.,Viola curtisii E.Forst.,Viola tricolor ssp. curtisii (E.Forst.) Syme,34,2n=26,26,,n,n,y,y
869428-1,Viola tricolor,Viola tricolor L.,Viola curtisii E.Forst.,Viola tricolor ssp. curtisii (E.Forst.) Syme,34,2n=26,26,,n,n,y,y
869428-1,Viola tricolor,Viola tricolor L.,Viola curtisii E.Forst.,Viola tricolor ssp. curtisii (E.Forst.) Syme,34,2n=26,26,,n,n,y,y
869428-1,Viola tricolor,Viola tricolor L.,Viola curtisii E.Forst.,Viola tricolor ssp. curtisii (E.Forst.) Syme,34,2n=26,26,,n,n,y,y
869428-1,Viola tricolor,Viola tricolor L.,Viola lejeunei Jord.,Viola tricolor var. lejeunei (Jord.) Rouy & Foucaud,34,2n=26,26,,n,n,y,y
869428-1,Viola tricolor,Viola tricolor L.,Viola lloydii Jord.,Viola tricolor var. lloydii (Jord.) Rouy & Foucaud,34,2n=26,26,,n,n,y,y
869428-1,Viola tricolor,Viola tricolor L.,Viola lloydii Jord.,Viola tricolor var. lloydii (Jord.) Rouy & Foucaud,34,2n=26,26,,n,n,y,y
869428-1,Viola tricolor,Viola tricolor L.,Viola lloydii Jord.,Viola tricolor var. lloydii (Jord.) Rouy & Foucaud,34,2n=26,26,,n,n,y,y
869428-1,Viola tricolor,Viola tricolor L.,Viola pesneaui (Loyd) Baker,Viola tricolor var. pesneaui Loyd,34,2n=26,26,,n,n,y,y
869428-1,Viola tricolor,Viola tricolor L.,Viola variata Jord.,Viola tricolor var. variata (Jord.) Rouy & Foucaud,34,2n=26,26,,n,n,y,y
603618-1,Zostera marina,Zostera marina L.,Zostera hornemanniana Tutin,Zostera marina L.,34,2n=12,12,,n,n,y,n
603626-1,Zostera noltei,Zostera noltei Hornem.,Zostera marina var. angustifolia Hornem.,Zostera noltei Hornem.,37,2n=12,12,,n,n,y,n
603626-1,Zostera noltei,Zostera noltei Hornem.,Zostera nana Mert. ex Roth,Zostera noltei Hornem.,34,2n=12,12,,n,n,y,n
781250-1,Acer campestre,Acer campestre L.,Acer campestre L.,Acer campestre L.,34,2n=26,26,,y,y,y,n
2294-2,Achillea millefolium,Achillea millefolium L.,Achillea millefolium L.,Achillea millefolium L.,34,2n=54,54,,y,y,y,n
2294-2,Achillea millefolium,Achillea millefolium L.,Achillea millefolium L.,Achillea millefolium L.,34,2n=54,54,,y,y,y,n
2294-2,Achillea millefolium,Achillea millefolium L.,Achillea millefolium L.,Achillea millefolium L.,34,2n=54,54,,y,y,y,n
2294-2,Achillea millefolium,Achillea millefolium L.,Achillea millefolium L.,Achillea millefolium L.,34,2n=54,54,,y,y,y,n
2336-2,Achillea ptarmica,Achillea ptarmica L.,Achillea ptarmica L.,Achillea ptarmica L.,34,2n=18,18,,y,y,y,n
2336-2,Achillea ptarmica,Achillea ptarmica L.,Achillea ptarmica L.,Achillea ptarmica L.,34,2n=18,18,,y,y,y,n
2336-2,Achillea ptarmica,Achillea ptarmica L.,Achillea ptarmica L.,Achillea ptarmica L.,34,2n=18,18,,y,y,y,n
707615-1,Aconitum napellus,Aconitum napellus L.,Aconitum napellus var. anglicum ,Aconitum napellus ssp. napellus ,37,2n=32,32,,n,y,y,y
84009-1,Acorus calamus,Acorus calamus L.,Acorus calamus L.,Acorus calamus L.,34,2n=c.36,,c.36,y,y,y,n
325030-2,Adiantum capillus-veneris,Adiantum capillus-veneris L.,Adiantum capillus-veneris L.,Adiantum capillus-veneris L.,34,2n=c.60,,c.60,y,y,y,n
325030-2,Adiantum capillus-veneris,Adiantum capillus-veneris L.,Adiantum capillus-veneris L.,Adiantum capillus-veneris L.,34,2n=60,60,,y,y,y,n
148240-1,Adoxa moschatellina,Adoxa moschatellina L.,Adoxa moschatellina L.,Adoxa moschatellina L.,34,2n=36,36,,y,y,y,n
148240-1,Adoxa moschatellina,Adoxa moschatellina L.,Adoxa moschatellina L.,Adoxa moschatellina L.,34,2n=36,36,,y,y,y,n
927643-1,Aesculus carnea,Aesculus carnea J. Zeyh.,Aesculus carnea J.Zeyh.,Aesculus carnea J.Zeyh.,34,2n=80,80,,y,y,y,n
781594-1,Aesculus hippocastanum,Aesculus hippocastanum L.,Aesculus hippocastanum L.,Aesculus hippocastanum L.,34,2n=40,40,,y,y,y,n
837341-1,Aethusa cynapium,Aethusa cynapium L.,Aethusa cynapium L.,Aethusa cynapium L.,34,2n=20,20,,y,y,y,n
316550-2,Agrimonia eupatoria,Agrimonia eupatoria L.,Agrimonia eupatoria L.,Agrimonia eupatoria L.,34,2n=28,28,,y,y,y,n
316550-2,Agrimonia eupatoria,Agrimonia eupatoria L.,Agrimonia eupatoria L.,Agrimonia eupatoria L.,34,2n=28,28,,y,y,y,n
316550-2,Agrimonia eupatoria,Agrimonia eupatoria L.,Agrimonia eupatoria L.,Agrimonia eupatoria L.,34,2n=28,28,,y,y,y,n
316550-2,Agrimonia eupatoria,Agrimonia eupatoria L.,Agrimonia eupatoria L.,Agrimonia eupatoria L.,34,2n=28,28,,y,y,y,n
316550-2,Agrimonia eupatoria,Agrimonia eupatoria L.,Agrimonia eupatoria L.,Agrimonia eupatoria L.,34,2n=28,28,,y,y,y,n
316550-2,Agrimonia eupatoria,Agrimonia eupatoria L.,Agrimonia eupatoria L.,Agrimonia eupatoria L.,34,2n=28,28,,y,y,y,n
316550-2,Agrimonia eupatoria,Agrimonia eupatoria L.,Agrimonia eupatoria L.,Agrimonia eupatoria L.,34,2n=28,28,,y,y,y,n
316550-2,Agrimonia eupatoria,Agrimonia eupatoria L.,Agrimonia eupatoria L.,Agrimonia eupatoria L.,34,2n=28,28,,y,y,y,n
316550-2,Agrimonia eupatoria,Agrimonia eupatoria L.,Agrimonia eupatoria L.,Agrimonia eupatoria L.,34,2n=28,28,,y,y,y,n
316550-2,Agrimonia eupatoria,Agrimonia eupatoria L.,Agrimonia eupatoria L.,Agrimonia eupatoria L.,34,2n=28,28,,y,y,y,n
316550-2,Agrimonia eupatoria,Agrimonia eupatoria L.,Agrimonia eupatoria L.,Agrimonia eupatoria L.,34,2n=28,28,,y,y,y,n
720304-1,Agrimonia procera,Agrimonia procera Wallr.,Agrimonia procera Wallr.,Agrimonia procera Wallr.,34,2n=56,56,,y,y,y,n
720304-1,Agrimonia procera,Agrimonia procera Wallr.,Agrimonia procera Wallr.,Agrimonia procera Wallr.,34,2n=56,56,,y,y,y,n
720304-1,Agrimonia procera,Agrimonia procera Wallr.,Agrimonia procera Wallr.,Agrimonia procera Wallr.,34,2n=56,56,,y,y,y,n
720304-1,Agrimonia procera,Agrimonia procera Wallr.,Agrimonia procera Wallr.,Agrimonia procera Wallr.,34,2n=56,56,,y,y,y,n
720304-1,Agrimonia procera,Agrimonia procera Wallr.,Agrimonia procera Wallr.,Agrimonia procera Wallr.,34,2n=56,56,,y,y,y,n
720304-1,Agrimonia procera,Agrimonia procera Wallr.,Agrimonia procera Wallr.,Agrimonia procera Wallr.,34,2n=56,56,,y,y,y,n
150316-1,Agrostemma githago,Agrostemma githago L.,Agrostemma githago L.,Agrostemma githago L.,34,2n=48,48,,y,y,y,n
385783-1,Agrostis gigantea,Agrostis gigantea Roth,Agrostis gigantea Roth,Agrostis gigantea Roth,34,2n=42,42,,y,y,y,n
386353-1,Agrostis stolonifera,Agrostis stolonifera L.,Agrostis stolonifera L.,Agrostis stolonifera L.,34,2n=28,28,,y,y,y,n
386353-1,Agrostis stolonifera,Agrostis stolonifera L.,Agrostis stolonifera L.,Agrostis stolonifera L.,34,2n=28,28,,y,y,y,n
