kew_id,taxon_name,cited_name,sporophytic_chromosome_number,notes,unambiguous_match,number_identical_observations,,,,,
17268360-1,Cyrtomium falcatum (L.f.) C.Presl,Cyrtomium falcatum (L.f.) C.Presl,123,,y,1,,,,,
17268360-1,Cyrtomium falcatum (L.f.) C.Presl,Cyrtomium fortunei J.Sm.,123,,n,1,,,,,
17387150-1,Cystopteris dickieana R.Sim,Cystopteris dickieana R.Sim,168,,y,1,,,,,
30013429-2,Cystopteris fragilis (L.) Bernh.,Cystopteris fragilis (L.) Bernh.,168,,y,2,,,,,
30013429-2,Cystopteris fragilis (L.) Bernh.,Cystopteris fragilis (L.) Bernh.,252,,y,3,,,,,
489963-1,Cytisus scoparius (L.) Link,Cytisus scoparius (L.) Link,46,,y,1,,,,,
489963-1,Cytisus scoparius (L.) Link,Cytisus scoparius subsp. maritimus (Rouy) Heywood,46,,n,6,,,,,
489963-1,Cytisus scoparius (L.) Link,Cytisus scoparius subsp. maritimus (Rouy) Heywood,48,,n,1,,,,,
489963-1,Cytisus scoparius (L.) Link,Cytisus scoparius subsp. scoparius ,46,,n,1,,,,,
489963-1,Cytisus scoparius (L.) Link,Sarothamnus scoparius subsp. maritimus (Rouy) Ulbr.,46,,n,3,,,,,
489963-1,Cytisus scoparius (L.) Link,Sarothamnus scoparius subsp. prostratus (C.Bailey) Tutin,24,,n,1,,,,,
489963-1,Cytisus scoparius (L.) Link,Sarothamnus scoparius subsp. scoparius ,48,,n,1,,,,,
327713-1,Daboecia cantabrica (Huds.) K.Koch,Daboecia cantabrica (Huds.) K.Koch,24,,y,1,,,,,
397309-1,Dactylis glomerata L.,Dactylis glomerata L.,28,,y,3,,,,,
397309-1,Dactylis glomerata L.,Dactylis glomerata subsp. glomerata ,,c.28,n,1,,,,,
397309-1,Dactylis glomerata L.,Dactylis glomerata subsp. glomerata ,28,,n,23,,,,,
626606-1,Dactylorhiza fuchsii (Druce) Soó,Dactylorhiza fuchsii (Druce) Soó,40,,y,3,,,,,
626606-1,Dactylorhiza fuchsii (Druce) Soó,Dactylorhiza fuchsii var. okellyi (Druce) R.M.Bateman & Denholm,40,,n,1,,,,,
626606-1,Dactylorhiza fuchsii (Druce) Soó,Orchis fuchsii Druce,40,,n,8,,,,,
626606-1,Dactylorhiza fuchsii (Druce) Soó,Orchis fuchsii Druce,41,,n,1,,,,,
626606-1,Dactylorhiza fuchsii (Druce) Soó,Orchis fuchsii var. hebridensis (Wilmott) Hesl.-Harr.,40,,n,1,,,,,
626606-1,Dactylorhiza fuchsii (Druce) Soó,Orchis fuchsii subsp. rhoumensis Hesl.-Harr.f.,40,,n,2,,,,,
626620-1,Dactylorhiza incarnata (L.) Soó,Orchis cruenta O.F.Müll.,40,,n,2,,,,,
626620-1,Dactylorhiza incarnata (L.) Soó,Orchis latifolia L.,40,,n,1,,,,,
626620-1,Dactylorhiza incarnata (L.) Soó,Orchis latifolia var. coccinea Pugsley,40,,n,1,,,,,
626620-1,Dactylorhiza incarnata (L.) Soó,Orchis latifolia var. dunensis Druce,40,,n,1,,,,,
626630-1,Dactylorhiza kerryensis (Wilmott) P.F.Hunt & Summerh.,Orchis majalis var. occidentalis Pugsley,80,,n,1,,,,,
626641-1,Dactylorhiza maculata (L.) Soó,Dactylorhiza maculata (L.) Soó,,c.80,y,1,,,,,
626641-1,Dactylorhiza maculata (L.) Soó,Orchis elodes Griseb.,79,,n,1,,,,,
626641-1,Dactylorhiza maculata (L.) Soó,Orchis elodes Griseb.,80,,n,1,,,,,
626641-1,Dactylorhiza maculata (L.) Soó,Orchis ericetorum (E.F.Linton) E.S.Marshall,80,,n,4,,,,,
626641-1,Dactylorhiza maculata (L.) Soó,"Orchis maculata var. okellyi auct., non Druce",80,,n,1,,,,,
626656-1,Dactylorhiza praetermissa (Druce) Soó,"Orchis latifolia auct., non L.",80,,n,1,,,,,
626656-1,Dactylorhiza praetermissa (Druce) Soó,Orchis praetermissa Druce,80,,n,2,,,,,
626656-1,Dactylorhiza praetermissa (Druce) Soó,Orchis praetermissa var. junialis (Verm.) Hesl.-Harr.f.,80,,n,4,,,,,
626660-1,Dactylorhiza purpurella (T. & T.A.Stephenson) Soó,Dactylorchis majalis subsp. cambrensis R.H.Roberts,80,,n,3,,,,,
626660-1,Dactylorhiza purpurella (T. & T.A.Stephenson) Soó,Dactylorhiza purpurella (T.Stephenson & T.A.Stephenson) Soó,80,,n,2,,,,,
626660-1,Dactylorhiza purpurella (T. & T.A.Stephenson) Soó,Orchis praetermissa var. pulchella Druce,80,,n,1,,,,,
626660-1,Dactylorhiza purpurella (T. & T.A.Stephenson) Soó,Orchis praetermissa var. pulchella Druce,82,,n,1,,,,,
626660-1,Dactylorhiza purpurella (T. & T.A.Stephenson) Soó,Orchis purpurella T.Stephenson & T.A.Stephenson,80,,n,4,,,,,
77070481-1,Dactylorhiza traunsteinerioides (Pugsley) R.M. Bateman & Denholm,"Dactylorhiza traunsteineri auct., non (Saut. ex Rchb.) Soó",80,,n,2,,,,,
77070481-1,Dactylorhiza traunsteinerioides (Pugsley) R.M. Bateman & Denholm,Orchis taunsteineri auct.non (Sauter ex Rchb.),80,,n,4,,,,,
397531-1,Danthonia decumbens (L.) DC.,Danthonia decumbens (L.) DC.,36,,y,2,,,,,
397531-1,Danthonia decumbens (L.) DC.,Sieglingia decumbens (L.) Bernh.,124,,n,1,,,,,
831270-1,Daphne laureola L.,Daphne laureola L.,18,,y,1,,,,,
831294-1,Daphne mezereum L.,Daphne mezereum L.,18,,y,1,,,,,
724590-1,Dasiphora fruticosa (L.) Rydb.,Potentilla fruticosa L.,28,,n,10,,,,,
841063-1,Daucus carota L.,Daucus carota L.,18,,y,1,,,,,
841063-1,Daucus carota L.,Daucus carota subsp. carota ,18,,n,1,,,,,
397953-1,Deschampsia cespitosa (L.) P.Beauv.,Deschampsia alpina (L.) Roem. & Schult.,,c.34,n,1,,,,,
397953-1,Deschampsia cespitosa (L.) P.Beauv.,Deschampsia alpina (L.) Roem. & Schult.,,c.36,n,1,,,,,
397953-1,Deschampsia cespitosa (L.) P.Beauv.,Deschampsia alpina (L.) Roem. & Schult.,,c.38,n,1,,,,,
397953-1,Deschampsia cespitosa (L.) P.Beauv.,Deschampsia alpina (L.) Roem. & Schult.,26,,n,1,,,,,
397953-1,Deschampsia cespitosa (L.) P.Beauv.,Deschampsia alpina (L.) Roem. & Schult.,49,,n,1,,,,,
397953-1,Deschampsia cespitosa (L.) P.Beauv.,Deschampsia alpina (L.) Roem. & Schult.,52,,n,3,,,,,
397953-1,Deschampsia cespitosa (L.) P.Beauv.,Deschampsia alpina/cespitosa var. pseudoalpina intermediate ,,c.34,n,1,,,,,
397953-1,Deschampsia cespitosa (L.) P.Beauv.,Deschampsia alpina/cespitosa var. pseudoalpina intermediate ,,c.37,n,1,,,,,
397953-1,Deschampsia cespitosa (L.) P.Beauv.,Deschampsia alpina/cespitosa var. pseudoalpina intermediate ,,c.39,n,1,,,,,
397953-1,Deschampsia cespitosa (L.) P.Beauv.,Deschampsia cespitosa (L.) P.Beauv.,,26 +2s,y,1,,,,,
397953-1,Deschampsia cespitosa (L.) P.Beauv.,Deschampsia cespitosa (L.) P.Beauv.,,c.52,y,2,,,,,
397953-1,Deschampsia cespitosa (L.) P.Beauv.,Deschampsia cespitosa (L.) P.Beauv.,26,,y,34,,,,,
397953-1,Deschampsia cespitosa (L.) P.Beauv.,Deschampsia cespitosa (L.) P.Beauv.,39,,y,1,,,,,
397953-1,Deschampsia cespitosa (L.) P.Beauv.,Deschampsia cespitosa (L.) P.Beauv.,52,,y,92,,,,,
397953-1,Deschampsia cespitosa (L.) P.Beauv.,Deschampsia cespitosa subsp. alpina (L.) Hook.f.,49,,n,1,,,,,
397953-1,Deschampsia cespitosa (L.) P.Beauv.,Deschampsia cespitosa subsp. alpina (L.) Hook.f.,56,,n,2,,,,,
397953-1,Deschampsia cespitosa (L.) P.Beauv.,Deschampsia cespitosa subsp. parviflora (Thuill.) Dumort.,26,,n,1,,,,,
397953-1,Deschampsia cespitosa (L.) P.Beauv.,Deschampsia cespitosa var. pseudoalpina (Syme) Druce,,31-32,n,1,,,,,
397953-1,Deschampsia cespitosa (L.) P.Beauv.,Deschampsia cespitosa var. pseudoalpina (Syme) Druce,,c.32,n,1,,,,,
397953-1,Deschampsia cespitosa (L.) P.Beauv.,Deschampsia cespitosa var. pseudoalpina (Syme) Druce,,c.36,n,1,,,,,
397953-1,Deschampsia cespitosa (L.) P.Beauv.,Deschampsia cespitosa var. pseudoalpina (Syme) Druce,,c.37,n,1,,,,,
397953-1,Deschampsia cespitosa (L.) P.Beauv.,Deschampsia cespitosa var. pseudoalpina (Syme) Druce,,c.41,n,1,,,,,
397953-1,Deschampsia cespitosa (L.) P.Beauv.,Deschampsia cespitosa var. pseudoalpina (Syme) Druce,,c.44,n,1,,,,,
397953-1,Deschampsia cespitosa (L.) P.Beauv.,Deschampsia cespitosa var. pseudoalpina (Syme) Druce,,c.47,n,1,,,,,
397953-1,Deschampsia cespitosa (L.) P.Beauv.,Deschampsia cespitosa var. pseudoalpina (Syme) Druce,,c.49,n,1,,,,,
310755-2,Dianthus armeria L.,Dianthus armeria L.,30,,y,2,,,,,
302054-2,Dianthus deltoides L.,Dianthus deltoides L.,30,,y,2,,,,,
153370-1,Dianthus gallicus Pers.,Dianthus gallicus Pers.,60,,y,1,,,,,
153408-1,Dianthus gratianopolitanus Vill.,Dianthus gratianopolitanus Vill.,90,,y,1,,,,,
153717-1,Dianthus plumarius L.,Dianthus plumarius L.,90,,y,1,,,,,
802077-1,Digitalis purpurea L.,Digitalis purpurea L.,56,,y,4,,,,,
81292-2,Diphasiastrum alpinum (L.) Holub,Lycopodium alpinum L.,,c.48,n,1,,,,,
96869-3,Diplotaxis muralis (L.) DC.,Diplotaxis muralis (L.) DC.,42,,y,2,,,,,
1028648-2,Diplotaxis tenuifolia (L.) DC.,Diplotaxis tenuifolia (L.) DC.,22,,y,1,,,,,
319260-1,Dipsacus fullonum L.,Dipsacus fullonum L.,18,,y,1,,,,,
361626-1,Disphyma crassifolium (L.) L.Bolus,Disphyma crassifolium (L.) L.Bolus,36,,y,1,,,,,
282317-1,Draba aizoides L.,Draba aizoides L.,16,,y,2,,,,,
282687-1,Draba incana L.,Draba incana L.,32,,y,4,,,,,
282873-1,Draba norvegica Gunnerus,Draba rupestris fm. hebecarpa ,,c.48,n,1,,,,,
361680-1,Drosanthemum floribundum (Haw.) Schwantes,Drosanthemum floribundum (Haw.) Schwantes,36,,y,1,,,,,
321780-1,Drosera anglica Huds.,Drosera longifolia L.,40,,n,1,,,,,
84157-2,Drosera intermedia Hayne,Drosera intermedia Hayne,20,,y,1,,,,,
319182-2,Drosera rotundifolia L.,Drosera rotundifolia L.,20,,y,2,,,,,
724675-1,Dryas octopetala L.,Dryas octopetala L.,18,,y,5,,,,,
913944-1,Drymochloa sylvatica (Pollich) Holub,Festuca altissima All.,14,,n,2,,,,,
17092290-1,Dryopteris aemula (Aiton) Kuntze,Dryopteris aemula (Aiton) Kuntze,82,,y,2,,,,,
17556900-1,Dryopteris affinis (Lowe) Fraser-Jenk.,Dryopteris borreri (Newman) Newman ex Oberh. & Tavel.,82,,n,4,,,,,
17556900-1,Dryopteris affinis (Lowe) Fraser-Jenk.,Dryopteris borreri (Newman) Newman ex Oberh. & Tavel.,123,,n,1,,,,,
17390210-1,Dryopteris carthusiana (Vill.) H.P.Fuchs,Dryopteris carthusiana (Vill.) H.P.Fuchs,164,,y,1,,,,,
17390210-1,Dryopteris carthusiana (Vill.) H.P.Fuchs,Dryopteris spinulosa Kuntze,164,,n,4,,,,,
17093920-1,Dryopteris cristata (L.) A.Gray,Dryopteris cristata (L.) A.Gray,164,,y,2,,,,,
30117034-2,Dryopteris dilatata (Hoffm.) A.Gray,Dryopteris austriaca Jacq.,164,,n,1,,,,,
30117034-2,Dryopteris dilatata (Hoffm.) A.Gray,Dryopteris dilatata (Hoffm.) A.Gray,,c.162,y,1,,,,,
30117034-2,Dryopteris dilatata (Hoffm.) A.Gray,Dryopteris dilatata (Hoffm.) A.Gray,164,,y,19,,,,,
30117034-2,Dryopteris dilatata (Hoffm.) A.Gray,Dryopteris dilatata var. alpina Moore,82,,n,1,,,,,
84669-2,Dryopteris expansa (C.Presl) Fraser-Jenk. & Jermy,Dryopteris assimilis S.Walker,82,,n,27,,,,,
84669-2,Dryopteris expansa (C.Presl) Fraser-Jenk. & Jermy,Dryopteris expansa (C.Presl) Fraser-Jenk. & Jermy,,c.82,y,1,,,,,
30345915-2,Dryopteris filix-mas (L.) Schott,Dryopteris filix-mas (L.) Schott,164,,y,2,,,,,
17249360-1,Dryopteris oreades Fomin,"Dryopteris abbreviata Newman ex Manton, non DC.nec (Schrad.) Kuntze",82,,n,10,,,,,
77186401-1,Dryopteris remota (A.Braun ex Döll) Druce,Dryopteris remota (A.Braun ex Döll) Druce,,c.164,y,1,,,,,
77186401-1,Dryopteris remota (A.Braun ex Döll) Druce,Dryopteris remota (A.Braun ex Döll) Druce,123,,y,1,,,,,
77186401-1,Dryopteris remota (A.Braun ex Döll) Druce,Dryopteris remota var. boydii ,,c.123,n,1,,,,,
17554520-1,Dryopteris submontana (Fraser-Jenk. & Jermy) Fraser-Jenk.,"Dryopteris villarii auct., non (Bellardi) Woyn. ex Schinz & Thell.",164,,n,7,,,,,
115950-1,Echium vulgare L.,Echium vulgare L.,32,,y,1,,,,,
306968-1,Eleocharis multicaulis (Sm.) Desv.,Eleocharis multicaulis (Sm.) Desv.,20,,y,1,,,,,
1094314-2,Eleocharis palustris (L.) Roem. & Schult.,Eleocharis palustris (L.) Roem. & Schult.,,40-41,y,1,,,,,
1094314-2,Eleocharis palustris (L.) Roem. & Schult.,Eleocharis palustris (L.) Roem. & Schult.,37,,y,1,,,,,
1094314-2,Eleocharis palustris (L.) Roem. & Schult.,Eleocharis palustris (L.) Roem. & Schult.,38,,y,1,,,,,
1094314-2,Eleocharis palustris (L.) Roem. & Schult.,Eleocharis palustris (L.) Roem. & Schult.,39,,y,1,,,,,
1094314-2,Eleocharis palustris (L.) Roem. & Schult.,Eleocharis palustris (L.) Roem. & Schult.,40,,y,2,,,,,
1094314-2,Eleocharis palustris (L.) Roem. & Schult.,Eleocharis palustris subsp. microcarpa Walters,16,,n,4,,,,,
1094314-2,Eleocharis palustris (L.) Roem. & Schult.,Eleocharis palustris subsp. vulgaris Walters,,38 (mode)| 16-21(range),n,1,,,,,
1094314-2,Eleocharis palustris (L.) Roem. & Schult.,Eleocharis palustris subsp. vulgaris Walters,,38 +0/1s,n,1,,,,,
1094314-2,Eleocharis palustris (L.) Roem. & Schult.,Eleocharis palustris subsp. vulgaris Walters,37,,n,1,,,,,
1094314-2,Eleocharis palustris (L.) Roem. & Schult.,Eleocharis palustris subsp. vulgaris Walters,38,,n,24,,,,,
1094314-2,Eleocharis palustris (L.) Roem. & Schult.,Eleocharis palustris subsp. vulgaris Walters,39,,n,2,,,,,
1094314-2,Eleocharis palustris (L.) Roem. & Schult.,Eleocharis palustris subsp. vulgaris Walters,40,,n,2,,,,,
307064-1,Eleocharis quinqueflora (Hartmann) O.Schwarz,Eleocharis quinqueflora (Hartmann) O.Schwarz,20,,y,1,,,,,
307177-1,Eleocharis uniglumis (Link) Schult.,Eleocharis uniglumis (Link) Schult.,,38-48,y,1,,,,,
307177-1,Eleocharis uniglumis (Link) Schult.,Eleocharis uniglumis (Link) Schult.,,46-48,y,1,,,,,
307177-1,Eleocharis uniglumis (Link) Schult.,Eleocharis uniglumis (Link) Schult.,,88-92,y,1,,,,,
307177-1,Eleocharis uniglumis (Link) Schult.,Eleocharis uniglumis (Link) Schult.,40,,y,1,,,,,
307177-1,Eleocharis uniglumis (Link) Schult.,Eleocharis uniglumis (Link) Schult.,46,,y,4,,,,,
307177-1,Eleocharis uniglumis (Link) Schult.,Eleocharis uniglumis (Link) Schult.,47,,y,1,,,,,
307177-1,Eleocharis uniglumis (Link) Schult.,Eleocharis uniglumis (Link) Schult.,48,,y,1,,,,,
307177-1,Eleocharis uniglumis (Link) Schult.,Eleocharis uniglumis (Link) Schult.,50,,y,1,,,,,
307177-1,Eleocharis uniglumis (Link) Schult.,Eleocharis uniglumis (Link) Schult.,68,,y,1,,,,,
307177-1,Eleocharis uniglumis (Link) Schult.,Eleocharis uniglumis (Link) Schult.,88,,y,1,,,,,
307233-1,Eleogiton fluitans (L.) Link,Eleogiton fluitans (L.) Link,60,,y,1,,,,,
431705-1,Elodea callitrichoides (Rich.) Casp.,Elodea callitrichoides (Rich.) Casp.,,c.32,y,1,,,,,
90075-2,Elodea canadensis Michx.,Elodea canadensis Michx.,,c.24,y,1,,,,,
90089-2,Elodea nuttallii (Planch.) H.St.John,Elodea nuttallii (Planch.) H.St.John,,c.48,y,1,,,,,
912429-1,Elymus athericus (Link) Kerguélen,Elymus pycnanthus (Godr.) Melderis,35,,n,1,,,,,
912429-1,Elymus athericus (Link) Kerguélen,Elymus pycnanthus (Godr.) Melderis,42,,n,1,,,,,
912429-1,Elymus athericus (Link) Kerguélen,"Elytrigia pungens auct., non (Pers.) Tutin",42,,n,1,,,,,
400197-1,Elymus caninus (L.) L.,Elymus caninus (L.) L.,28,,y,1,,,,,
77095209-1,Elymus junceiformis (Á. & D. Löve) Hand & Buttler,Elymus farctus (Viv.) Runemark ex Melderis,28,,n,1,,,,,
90320-2,Elymus repens (L.) Gould,Elytrigia repens subsp. repens ,42,,n,1,,,,,
30371508-2,Empetrum nigrum L.,Empetrum nigrum L.,26,,y,2,,,,,
30371508-2,Empetrum nigrum L.,Empetrum nigrum subsp. nigrum ,26,,n,3,,,,,
611599-1,Epilobium alsinifolium Vill.,Epilobium alsinifolium Vill.,36,,y,2,,,,,
611612-1,Epilobium anagallidifolium Lam.,Epilobium anagallidifolium Lam.,36,,y,2,,,,,
611692-1,Epilobium brunnescens (Cockayne) P.H.Raven & Engelhorn,"Epilobium nerteroides auct., non A.Cunn.",36,,n,2,,,,,
611725-1,Epilobium ciliatum Raf.,Epilobium adenocaulon Hausskn.,36,,n,3,,,,,
611919-1,Epilobium hirsutum L.,Epilobium hirsutum L.,36,,y,3,,,,,
611987-1,Epilobium lanceolatum Sebast. & Mauri,Epilobium lanceolatum Sebast. & Mauri,36,,y,2,,,,,
612070-1,Epilobium montanum L.,Epilobium montanum L.,36,,y,3,,,,,
612128-1,Epilobium obscurum Schreb.,Epilobium obscurum Schreb.,36,,y,3,,,,,
612155-1,Epilobium palustre L.,Epilobium palustre L.,36,,y,2,,,,,
612163-1,Epilobium parviflorum Schreb.,Epilobium parviflorum Schreb.,36,,y,3,,,,,
612275-1,Epilobium roseum Schreb.,Epilobium roseum Schreb.,36,,y,1,,,,,
612378-1,Epilobium tetragonum L.,Epilobium adnatum Griseb.,36,,n,1,,,,,
612378-1,Epilobium tetragonum L.,Epilobium lamyi F.W.Schultz,36,,n,1,,,,,
612378-1,Epilobium tetragonum L.,Epilobium tetragonum subsp. lamyi (F.W.Schultz) Nyman,36,,n,1,,,,,
612378-1,Epilobium tetragonum L.,Epilobium tetragonum subsp. tetragonum ,36,,n,1,,,,,
107260-1,Epimedium alpinum L.,Epimedium alpinum L.,12,,y,1,,,,,
300073-2,Equisetum arvense L.,Equisetum arvense L.,,c.216,y,1,,,,,
30041462-2,Equisetum fluviatile L.,Equisetum limosum L.,,c.216,n,1,,,,,
92939-2,Equisetum hyemale L.,Equisetum hyemale L.,,c.216,y,1,,,,,
30039890-2,Equisetum palustre L.,Equisetum palustre L.,,c.216,y,1,,,,,
60437142-2,Equisetum pratense Ehrh.,Equisetum pratense Ehrh.,,c.216,y,1,,,,,
303325-2,Equisetum sylvaticum L.,Equisetum sylvaticum L.,,c.216,y,1,,,,,
20007435-1,Equisetum telmateia Ehrh.,"Equisetum maximum sensu Duval-Jouve et auct., non Lam.",,c.216,n,1,,,,,
20007435-1,Equisetum telmateia Ehrh.,Equisetum telmateia Ehrh.,,c.216,y,1,,,,,
93031-2,Equisetum variegatum Schleich. ex F.Weber & D.Mohr,Equisetum variegatum Schleich. ex F.Weber & D.Mohr,,c.216,y,2,,,,,
93031-2,Equisetum variegatum Schleich. ex F.Weber & D.Mohr,Equisetum variegatum Schleich. ex F.Weber & D.Mohr,216,,y,1,,,,,
361790-1,Erepsia heteropetala (Haw.) Schwantes,Erepsia heteropetala (Haw.) Schwantes,18,,y,1,,,,,
328424-1,Erica cinerea L.,Erica cinerea L.,24,,y,1,,,,,
329737-1,Erica tetralix L.,Erica tetralix L.,24,,y,1,,,,,
332093-2,Erica vagans L.,Erica vagans L.,24,,y,1,,,,,
93523-2,Erigeron acris L.,Erigeron acer L.,18,,n,2,,,,,
93523-2,Erigeron acris L.,Erigeron acris L.,18,,y,1,,,,,
93610-2,Erigeron borealis (Vierh.) Simmons,Erigeron borealis (Vierh.) Simmons,18,,y,1,,,,,
203653-1,Erigeron canadensis L.,Conyza canadensis (L.) Cronquist,18,,n,1,,,,,
1060148-2,Eriocaulon aquaticum (Hill) Druce,Eriocaulon septangulare With.,64,,n,2,,,,,
307335-1,Eriophorum angustifolium Honck.,Eriophorum angustifolium Honck.,58,,y,4,,,,,
307418-1,Eriophorum vaginatum L.,Eriophorum vaginatum L.,58,,y,3,,,,,
372134-1,Erodium aethiopicum (Lam.) Brumhard & Thell.,"Erodium cicutarium (diploid, maritime form) sensu Warburg",20,,n,2,,,,,
372134-1,Erodium aethiopicum (Lam.) Brumhard & Thell.,Erodium glutinosum Dumort.,20,,n,1,,,,,
372219-1,Erodium cicutarium (L.) L'Hér.,Erodium cicutarium (L.) L'Hér.,40,,y,5,,,,,
372219-1,Erodium cicutarium (L.) L'Hér.,Erodium cicutarium subsp. arvale Andreas,40,,n,1,,,,,
372219-1,Erodium cicutarium (L.) L'Hér.,Erodium cicutarium subsp. cicutarium ,40,,n,1,,,,,
372219-1,Erodium cicutarium (L.) L'Hér.,Erodium cicutarium subsp. dunense Andreas,40,,n,4,,,,,
60438187-2,Erodium maritimum (L.) L'Hér.,Erodium maritimum (L.) L'Hér.,20,,y,1,,,,,
60438187-2,Erodium maritimum (L.) L'Hér.,Erodium maritimum subvar. apetala Rouy,20,,n,1,,,,,
372354-1,Erodium moschatum (L.) L'Hér.,Erodium moschatum (L.) L'Hér.,20,,y,1,,,,,
283309-1,Erophila glabrescens Jord.,Erophila glabrescens Jord.,48,,y,1,,,,,
283309-1,Erophila glabrescens Jord.,Erophila glabrescens Jord.,52,,y,3,,,,,
283309-1,Erophila glabrescens Jord.,Erophila glabrescens Jord.,54,,y,3,,,,,
283309-1,Erophila glabrescens Jord.,Erophila glabrescens Jord.,56,,y,1,,,,,
283309-1,Erophila glabrescens Jord.,Erophila quadriplex Winge,52,,n,2,,,,,
283309-1,Erophila glabrescens Jord.,Erophila quadriplex Winge,54,,n,1,,,,,
283320-1,Erophila majuscula Jord.,Erophila majuscula Jord.,14,,y,6,,,,,
283367-1,Erophila verna (L.) DC.,Erophila duplex Winge,30,,n,2,,,,,
283367-1,Erophila verna (L.) DC.,Erophila duplex Winge,34,,n,1,,,,,
283367-1,Erophila verna (L.) DC.,Erophila duplex Winge,36,,n,3,,,,,
283367-1,Erophila verna (L.) DC.,Erophila duplex Winge,40,,n,1,,,,,
283367-1,Erophila verna (L.) DC.,Erophila verna (L.) DC.,32,,y,1,,,,,
283367-1,Erophila verna (L.) DC.,Erophila verna (L.) DC.,36,,y,13,,,,,
283367-1,Erophila verna (L.) DC.,Erophila verna (L.) DC.,42,,y,1,,,,,
283367-1,Erophila verna (L.) DC.,Erophila verna (L.) DC.,44,,y,1,,,,,
494218-1,Ervilia hirsuta (L.) Opiz,Vicia hirsuta (L.) Gray,14,,n,2,,,,,
494223-1,Ervilia sylvatica (L.) Schur,Vicia sylvatica L.,14,,n,1,,,,,
494323-1,Ervum tetraspermum L.,Vicia tetrasperma (L.) Schreb.,14,,n,1,,,,,
841903-1,Eryngium maritimum L.,Eryngium maritimum L.,16,,y,3,,,,,
77120232-1,Erythranthe guttata (DC.) G.L.Nesom,Mimulus guttatus DC.,,2x(2n=28),n,29,,,,,
77120232-1,Erythranthe guttata (DC.) G.L.Nesom,Mimulus guttatus DC.,,4x(2n=56),n,1,,,,,
77120232-1,Erythranthe guttata (DC.) G.L.Nesom,Mimulus guttatus DC.,28,,n,11,,,,,
77120232-1,Erythranthe guttata (DC.) G.L.Nesom,Mimulus langsdorffii Donn ex Greene,48,possible intersp. hybrid,n,1,,,,,
77120193-1,Erythranthe moschata (Douglas ex Lindl.) G.L.Nesom,Mimulus moschatus Douglas ex Lindl.,32,,n,1,,,,,
77133323-1,Erythranthe peregrina (Vall.-Marín) G.L.Nesom,Mimulus peregrinus Vall.-Marín,92,,n,1,,,,,
160876-1,Euonymus europaeus L.,Euonymus europaeus L.,32,,y,6,,,,,
205581-1,Eupatorium cannabinum L.,Eupatorium cannabinum L.,20,,y,5,,,,,
345568-1,Euphorbia amygdaloides L.,Euphorbia amygdaloides L.,20,,y,2,,,,,
346115-1,Euphorbia corallioides L.,Euphorbia corallioides L.,26,,y,1,,,,,
346205-1,Euphorbia cyparissias L.,Euphorbia cyparissias L.,20,,y,2,,,,,
346205-1,Euphorbia cyparissias L.,Euphorbia cyparissias L.,40,,y,7,,,,,
346448-1,Euphorbia esula L.,Euphorbia esula L.,60,,y,1,,,,,
346469-1,Euphorbia exigua L.,Euphorbia exigua L.,24,,y,2,,,,,
346754-1,Euphorbia helioscopia L.,Euphorbia helioscopia L.,42,,y,1,,,,,
347072-1,Euphorbia lathyris L.,Euphorbia lathyris L.,20,,y,1,,,,,
347659-1,Euphorbia paralias L.,Euphorbia paralias L.,16,,y,2,,,,,
347724-1,Euphorbia peplus L.,Euphorbia peplus L.,16,,y,1,,,,,
347813-1,Euphorbia platyphyllos L.,Euphorbia platyphyllos L.,30,,y,1,,,,,
347863-1,Euphorbia portlandica L.,Euphorbia portlandica L.,16,,y,2,,,,,
347863-1,Euphorbia portlandica L.,Euphorbia portlandica L.,40,,y,1,,,,,
30120204-2,Euphrasia arctica Lange ex Rostrp,"Euphrasia brevipila auct., non Burnat & Gremli ex Gremli",44,,n,2,,,,,
30120204-2,Euphrasia arctica Lange ex Rostrp,Euphrasia brevipila var. notata (F.Towns.) Pugsley,,44 +0/1s,n,2,,,,,
30120204-2,Euphrasia arctica Lange ex Rostrp,Euphrasia brevipila var. reayensis Pugsley,44,,n,1,,,,,
802456-1,Euphrasia confusa Pugsley,Euphrasia confusa Pugsley,44,,y,1,,,,,
802534-1,Euphrasia foulaensis F.Towns. ex Wettst.,Euphrasia foulaensis F.Towns. ex Wettst.,44,,y,1,,,,,
802675-1,Euphrasia marshallii Pugsley,Euphrasia marshallii Pugsley,44,,y,1,,,,,
802686-1,Euphrasia micrantha Rchb.,Euphrasia micrantha Rchb.,,c.44,y,1,,,,,
802686-1,Euphrasia micrantha Rchb.,Euphrasia micrantha Rchb.,44,,y,1,,,,,
60463343-2,Euphrasia nemorosa (Pers.) Wallr.,Euphrasia curta var. rupestris Pugsley,44,,n,1,,,,,
60463343-2,Euphrasia nemorosa (Pers.) Wallr.,Euphrasia nemorosa (Pers.) Wallr.,44,,y,2,,,,,
802732-1,Euphrasia officinalis L.,Euphrasia anglica Pugsley,22,,n,4,,,,,
802732-1,Euphrasia officinalis L.,Euphrasia hirtella var. polyadena (Gren. & Roux) Pugsley,22,,n,1,,,,,
802783-1,Euphrasia pseudokerneri Pugsley,Euphrasia pseudokerneri Pugsley,44,,y,2,,,,,
802822-1,Euphrasia rivularis Pugsley,Euphrasia rivularis Pugsley,22,,y,1,,,,,
