kew_id,taxon_name,cited_name,sporophytic_chromosome_number,notes,unambiguous_match,number_identical_observations,,,,,
332079-2,Allium ampeloprasum L.,Allium babingtonii Borrer,48,,n,1,,,,,
527795-1,Allium cepa L.,Allium cepa L. [cultivated],16,,y,2,,,,,
528578-1,Allium paradoxum (M.Bieb.) G.Don,Allium paradoxum (M.Bieb.) G.Don,,16 +ff,y,3,,,,,
528646-1,Allium porrum L.,Allium porrum L. [cultivated],32,,y,5,,,,,
528796-1,Allium sativum L.,Allium sativum L. [cultivated],16,,y,1,,,,,
528823-1,Allium schoenoprasum L.,Allium schoenoprasum L.,,16 +0/1s,y,1,,,,,
528823-1,Allium schoenoprasum L.,Allium schoenoprasum L.,,16 +0-18s,y,1,,,,,
528823-1,Allium schoenoprasum L.,Allium schoenoprasum L.,,16 +0-4s,y,1,,,,,
528823-1,Allium schoenoprasum L.,Allium schoenoprasum L.,,16 +0-7s,y,1,,,,,
528823-1,Allium schoenoprasum L.,Allium schoenoprasum L.,16,,y,9,,,,,
528823-1,Allium schoenoprasum L.,Allium sibiricum L.,16,,n,1,,,,,
528834-1,Allium scorodoprasum L.,Allium scorodoprasum L.,16,,y,1,,,,,
529088-1,Allium ursinum L.,Allium ursinum L.,14,,y,1,,,,,
529111-1,Allium vineale L.,Allium vineale L.,32,,y,1,,,,,
529111-1,Allium vineale L.,Allium vineale var. vineale ,,32 +0-2s,n,1,,,,,
30036759-2,Alnus glutinosa (L.) Gaertn.,Alnus glutinosa var. macrocarpa Loudon,28,,n,1,,,,,
30036759-2,Alnus glutinosa (L.) Gaertn.,Alnus glutinosa var. microcarpa (Collier) Rouy,28,,n,1,,,,,
30036759-2,Alnus glutinosa (L.) Gaertn.,Alnus glutinosa var. typica Asch. & Graebn.,28,,n,2,,,,,
387005-1,Alopecurus aequalis Sobol.,Alopecurus aequalis Sobol.,14,,y,4,,,,,
387047-1,Alopecurus bulbosus Gouan,Alopecurus bulbosus Gouan,14,,y,4,,,,,
387047-1,Alopecurus bulbosus Gouan,Alopecurus bulbosus Gouan,21,,y,2,,,,,
387047-1,Alopecurus bulbosus Gouan,Alopecurus bulbosus Gouan,28,,y,2,,,,,
387091-1,Alopecurus geniculatus L.,Alopecurus geniculatus L.,28,,y,3,,,,,
387134-1,Alopecurus magellanicus Lam.,"Alopecurus alpinus Sm., non Vill.",,c.112,n,1,,,,,
