kew_id,unclear_species_marker,extinct_species_marker,taxon_name,taxon_name_binom,authors,taxon_name_WCVP,authors_WCVP,order,family,genus,subgenus,section,subsection,series,species,group,aggregate,members_of_agg.,taxonomic_status,accepted_kew_id,accepted_name,accepted_authors,imperfect_match_with_Stace_IV,WCVP_URL,POWO_URL,IPNI_URL,accepted_WCVP_URL,StaceIV_nativity,Atlas_nativity_viaALIENATT_PLANTATT,Stace_Crawley_nativity_aliens,SLA,LDMC,seed_mass,leaf_area,mean_veg_height,max_veg_height,L_PLANTATT,F_PLANTATT,R_PLANTATT,N_PLANTATT,S_PLANTATT,L_Doring,F_Doring,R_Doring,N_Doring,S_Doring,T_Doring,ECPE_CSR,predicted_CSR,growth_form,succulence,life_form,biome,origin,TDWG_level_1_code,GB_Man_hectads_post2000,Ire_hectads_post2000,CI_hectads_post2000,GB_Man_hectads_1987_1999,Ire_hectads_1987_1999,CI_hectads_1987_1999,GB_Man_hectads_2000_2009,Ire_hectads_2000_2009,CI_hectads_2000_2009,GB_Man_hectads_2010_2019,Ire_hectads_2010_2019,CI_hectads_2010_2019,hybrid_propensity,scaled_hybrid_propensity,BOLD_link1,BOLD_link2,BOLD_link3
77097998-1,,,Isoetes histrix Bory,Isoetes histrix,Bory,Isoetes histrix,Bory,Isoetales,Isoetaceae,Isoetes,,,,,histrix,,,,Accepted,,,,,https://wcvp.science.kew.org/taxon/77097998-1,http://plantsoftheworldonline.org/taxon/77097998-1,https://ipni.org/n/77097998-1,,N,N,,NA,NA,NA,NA,NA,NA,8,7,5,1,0,8,7,5,1,0,NA,NA,NA,NA,NA,geophyte,Mediterranean-Atlantic,,,3,0,4,3,0,5,2,0,4,3,0,3,NA,NA,NA,NA,NA
310437-2,,,Isoetes lacustris L.,Isoetes lacustris,L.,Isoetes lacustris,L.,Isoetales,Isoetaceae,Isoetes,,,,,lacustris,,,,Accepted,,,,,https://wcvp.science.kew.org/taxon/310437-2,http://plantsoftheworldonline.org/taxon/310437-2,https://ipni.org/n/310437-2,,N,N,,NA,NA,NA,NA,0.26,0.45,7,12,4,1,0,7,12,4,1,0,4,NA,NA,Aquatic,NA,hydrophyte,Boreal montane,,,303,124,0,406,84,0,188,97,0,211,105,0,NA,NA,NA,NA,NA
309238-1,,,Isolepis cernua (Vahl) Roem. & Schult.,Isolepis cernua,(Vahl) Roem. & Schult.,Isolepis cernua,(Vahl) Roem. & Schult.,Poales,Cyperaceae,Isolepis,,,,,cernua,,,,Accepted,,,,,https://wcvp.science.kew.org/taxon/309238-1,http://plantsoftheworldonline.org/taxon/309238-1,https://ipni.org/n/309238-1,,N,N,,NA,NA,0.119090909,NA,0.124285714,0.3,8,8,5,3,0,8,8,5,3,0,NA,NA,NA,Graminoid,NA,therophyte,Mediterranean-Atlantic,,,242,209,10,170,158,8,173,69,4,200,173,9,NA,NA,https://www.boldsystems.org/index.php/Public_RecordView?processid=POWNA378-10,https://www.boldsystems.org/index.php/Public_RecordView?processid=POWNA2172-12,https://www.boldsystems.org/index.php/Public_RecordView?processid=POWNA2167-12
309559-1,,,Isolepis setacea (L.) R.Br.,Isolepis setacea,(L.) R.Br.,Isolepis setacea,(L.) R.Br.,Poales,Cyperaceae,Isolepis,,,,,setacea,,,,Accepted,,,,,https://wcvp.science.kew.org/taxon/309559-1,http://plantsoftheworldonline.org/taxon/309559-1,https://ipni.org/n/309559-1,,N,N,,20.456,0.169696,0.070976429,56.15,0.1125,0.3,7,9,5,3,0,6,9,5,3,0,5,CSR,R,Graminoid,NA,therophyte,Temperate,,,1761,664,7,1581,531,8,1109,353,4,1392,525,4,NA,NA,https://www.boldsystems.org/index.php/Public_RecordView?processid=POWNA2165-12,https://www.boldsystems.org/index.php/Public_RecordView?processid=POWNA2168-12,https://www.boldsystems.org/index.php/Public_RecordView?processid=POWNA2558-12
439335-1,,,Ixia campanulata Houtt.,Ixia campanulata,Houtt.,Ixia campanulata,Houtt.,Asparagales,Iridaceae,Ixia,,,,,campanulata,,,,Accepted,,,,,https://wcvp.science.kew.org/taxon/439335-1,http://plantsoftheworldonline.org/taxon/439335-1,https://ipni.org/n/439335-1,,Neo-natd,AN,Neo-natd,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Herb,NA,geophyte,,S Africa,2,1,0,0,1,0,0,1,0,0,1,0,0,NA,NA,NA,NA,NA
439515-1,,,Ixia paniculata D.Delaroche,Ixia paniculata,D.Delaroche,Ixia paniculata,D.Delaroche,Asparagales,Iridaceae,Ixia,,,,,paniculata,,,,Accepted,,,,,https://wcvp.science.kew.org/taxon/439515-1,http://plantsoftheworldonline.org/taxon/439515-1,https://ipni.org/n/439515-1,,Neo-surv,AN,Neo-surv,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,geophyte,,S Africa,2,2,0,1,2,0,0,1,0,1,2,0,0,NA,NA,NA,NA,NA
226583-1,,,"Jacobaea aquatica (Hill) G.Gaertn., B.Mey. & Scherb.",Jacobaea aquatica,"(Hill) G.Gaertn., B.Mey. & Scherb.",Jacobaea aquatica,"(Hill) G.Gaertn., B.Mey. & Scherb.",Asterales,Asteraceae,Jacobaea,,,,,aquatica,,,,Accepted,,,,,https://wcvp.science.kew.org/taxon/226583-1,http://plantsoftheworldonline.org/taxon/226583-1,https://ipni.org/n/226583-1,,N,,,25.61,0.12932125,0.373158333,2911.48125,0.4675,0.8,7,8,6,5,0,7,8,6,5,0,NA,R/CR,CR,NA,NA,hemicryptophyte,,,,0,0,0,0,0,0,0,0,0,0,0,0,1,16.66666667,https://www.boldsystems.org/index.php/Public_RecordView?processid=POWNA2792-12,https://www.boldsystems.org/index.php/Public_RecordView?processid=POWNA2783-12,https://www.boldsystems.org/index.php/Public_RecordView?processid=POWNA922-10
226598-1,,,"Jacobaea erucifolia (L.) G.Gaertn., B.Mey. & Scherb.",Jacobaea erucifolia,"(L.) G.Gaertn., B.Mey. & Scherb.",Jacobaea erucifolia,"(L.) G.Gaertn., B.Mey. & Scherb.",Asterales,Asteraceae,Jacobaea,,,,,erucifolia,,,,Accepted,,,,,https://wcvp.science.kew.org/taxon/226598-1,http://plantsoftheworldonline.org/taxon/226598-1,https://ipni.org/n/226598-1,,Neo-natd,,,14.26947368,0.234907143,0.310166667,1204.714286,0.802083333,1.2,7,5,7,5,0,7,5,7,5,0,NA,NA,CS/CSR,NA,NA,hemicryptophyte,,,,0,0,0,0,0,0,0,0,0,0,0,0,1,16.66666667,https://www.boldsystems.org/index.php/Public_RecordView?processid=FPUK1147-14,https://www.boldsystems.org/index.php/Public_RecordView?processid=POWNB081-10,https://www.boldsystems.org/index.php/Public_RecordView?processid=POWNA1698-12
77075194-1,,,Jacobaea maritima (L.) Pelser & Meijden,Jacobaea maritima,(L.) Pelser & Meijden,Jacobaea maritima,(L.) Pelser & Meijden,Asterales,Asteraceae,Jacobaea,,,,,maritima,,,,Accepted,,,,,https://wcvp.science.kew.org/taxon/77075194-1,http://plantsoftheworldonline.org/taxon/77075194-1,https://ipni.org/n/77075194-1,,Neo-natd,,,NA,NA,NA,NA,0.55,0.8,9,3,7,3,3,9,3,7,3,3,NA,NA,NA,NA,NA,chamaephyte,,Mediterranean,"1, 2, 3",0,0,0,0,0,0,0,0,0,0,0,0,2,33.33333333,NA,NA,NA
226621-1,,,"Jacobaea paludosa (L.) G.Gaertn., B.Mey. & Scherb.",Jacobaea paludosa,"(L.) G.Gaertn., B.Mey. & Scherb.",Jacobaea paludosa,"(L.) G.Gaertn., B.Mey. & Scherb.",Asterales,Asteraceae,Jacobaea,,,,,paludosa,,,,Accepted,,,,,https://wcvp.science.kew.org/taxon/226621-1,http://plantsoftheworldonline.org/taxon/226621-1,https://ipni.org/n/226621-1,,N,,,19.43,0.158943333,0.606,2151.958,1.413636364,2.7,7,9,7,6,0,7,9,7,6,0,NA,NA,CR,NA,NA,helophyte/ hemicryptophyte,,,,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,https://www.boldsystems.org/index.php/Public_RecordView?processid=FPUK239-14,NA,NA
