taxon_name,taxon_name_Stace,authors_Stace,Full name,pg_2C,pg_1C,Mbp_2C,Mbp_1C,PublishedPloidyLevel,PublishedChromosomeNumber,Locality,from GB material,DB
Erigeron floribundus (Kunth) Sch. Bip.,Erigeron floribundus,(Kunth) Sch. Bip.,Erigeron floribundus,5.14,2.57,5026.92,2513.46,20,54,Leiden Douzastraat,n,"Zonneveld, 2019"
Prunus spinosa L.,Prunus spinosa,L.,Prunus spinosa,1.42,0.71,1388.76,694.38,5,32,Leiden Dr. Lelylaan,n,"Zonneveld, 2019"
Catabrosa aquatica (L.) P. Beauv.,Catabrosa aquatica,(L.) P. Beauv.,Catabrosa aquatica,6.29,3.145,6151.62,3075.81,1,20,Leiden DZB,n,"Zonneveld, 2019"
Scirpus sylvaticus L.,Scirpus sylvaticus,L.,Scirpus sylvaticus,0.75,0.375,733.50,366.75,2,62,Leiden DZB,n,"Zonneveld, 2019"
Leontodon saxatilis Lam.,Leontodon saxatilis,Lam.,Leontodon saxatilis,1.41,0.705,1378.98,689.49,2,8,Leiden Einsteinweg,n,"Zonneveld, 2019"
Malva neglecta Wallr.,Malva neglecta,Wallr.,Malva neglecta,1.53,0.765,1496.34,748.17,2,42,Leiden Einsteinweg,n,"Zonneveld, 2019"
Pulicaria dysenterica (L.) Bernh.,Pulicaria dysenterica,(L.) Bernh.,Pulicaria dysenterica,2.08,1.04,2034.24,1017.12,2,18,Leiden Einsteinweg,n,"Zonneveld, 2019"
Valerianella locusta (L.) Laterr.,Valerianella locusta,(L.) Laterr.,Valerianella locusta,0.42,0.21,410.76,205.38,14,"14, 16, 18",Leiden front,n,"Zonneveld, 2019"
Oxalis dillenii Jacq.,Oxalis dillenii,Jacq.,Oxalis dillenii,0.57,0.285,557.46,278.73,1,(16) 24,Leiden Haagweg,n,"Zonneveld, 2019"
Senecio inaequidens DC.,Senecio inaequidens,DC.,Senecio inaequidens,3.05,1.525,2982.90,1491.45,5,40,Leiden Hogewoerd 1509,n,"Zonneveld, 2019"
Andromeda polifolia L.,Andromeda polifolia,L.,Andromeda polifolia,2.18,1.09,2132.04,1066.02,2,48,Leiden hort.,n,"Zonneveld, 2019"
Aquilegia vulgaris L.,Aquilegia vulgaris,L.,Aquilegia vulgaris,0.82,0.41,801.96,400.98,1,14,Leiden hort.,n,"Zonneveld, 2019"
Armeria maritima (Mill.) Willd.,Armeria maritima,(Mill.) Willd.,Armeria maritima,8.89,4.445,8694.42,4347.21,3,18,Leiden hort.,n,"Zonneveld, 2019"
Bassia scoparia (L.) Voss,Bassia scoparia,(L.) Voss,Bassia scoparia,2.07,1.035,2024.46,1012.23,1,18,Leiden hort.,n,"Zonneveld, 2019"
Berberis thunbergii DC.,Berberis thunbergii,DC.,Berberis thunbergii,3.5,1.75,3423.00,1711.50,1,28,Leiden hort.,n,"Zonneveld, 2019"
Borago officinalis L.,Borago officinalis,L.,Borago officinalis,3.54,1.77,3462.12,1731.06,3,16,Leiden hort.,n,"Zonneveld, 2019"
Calla palustris L.,Calla palustris,L.,Calla palustris,2.16,1.08,2112.48,1056.24,2,"36, 72",Leiden hort.,n,"Zonneveld, 2019"
Campanula latifolia L.,Campanula latifolia,L.,Campanula latifolia,3.12,1.56,3051.36,1525.68,2,34,Leiden hort.,n,"Zonneveld, 2019"
Campanula patula L.,Campanula patula,L.,Campanula patula,6.64,3.32,6493.92,3246.96,1,"20, 40",Leiden hort.,n,"Zonneveld, 2019"
Campanula persicifolia L.,Campanula persicifolia,L.,Campanula persicifolia,6.84,3.42,6689.52,3344.76,4,16 (32),Leiden hort.,n,"Zonneveld, 2019"
Centaurea montana L.,Centaurea montana,L.,Centaurea montana,5.82,2.91,5691.96,2845.98,2,"24, 40, 44",Leiden hort.,n,"Zonneveld, 2019"
Cicer arietinum L.,Cicer arietinum,L.,Cicer arietinum,1.79,0.895,1750.62,875.31,1,"14, 16",Leiden hort.,n,"Zonneveld, 2019"
Cichorium endivia L.,Cichorium endivia,L.,Cichorium endivia,2.02,1.01,1975.56,987.78,5,18,Leiden hort.,n,"Zonneveld, 2019"
Cicuta virosa L.,Cicuta virosa,L.,Cicuta virosa,2.18,1.09,2132.04,1066.02,1,22,Leiden hort.,n,"Zonneveld, 2019"
Clematis montana Buch.-Ham. ex DC.,Clematis montana,Buch.-Ham. ex DC.,Clematis montana,19.1,9.55,18679.80,9339.90,1,16,Leiden hort.,n,"Zonneveld, 2019"
Comarum palustre L.,Comarum palustre,L.,Comarum palustre,1.3,0.65,1271.40,635.70,1,"35, 40, 64",Leiden hort.,n,"Zonneveld, 2019"
Coriandrum sativum L.,Coriandrum sativum,L.,Coriandrum sativum,4.69,2.345,4586.82,2293.41,4,22,Leiden hort.,n,"Zonneveld, 2019"
Corydalis solida (L.) Clairv.,Corydalis solida,(L.) Clairv.,Corydalis solida,1.5,0.75,1467.00,733.50,2,"16, 24, 32",Leiden hort.,n,"Zonneveld, 2019"
Corylus avellana L.,Corylus avellana,L.,Corylus avellana,0.83,0.415,811.74,405.87,5,"22,28",Leiden hort.,n,"Zonneveld, 2019"
Cotula coronopifolia L.,Cotula coronopifolia,L.,Cotula coronopifolia,3.83,1.915,3745.74,1872.87,2,"20, 40",Leiden hort.,n,"Zonneveld, 2019"
Daphne laureola L.,Daphne laureola,L.,Daphne laureola,6.08,3.04,5946.24,2973.12,2,18,Leiden hort.,n,"Zonneveld, 2019"
Echinochloa crus-galli (L.) P. Beauv.,Echinochloa crus-galli,(L.) P. Beauv.,Echinochloa crus-galli,3.26,1.63,3188.28,1594.14,5,36-72,Leiden hort.,n,"Zonneveld, 2019"
Elaeagnus commutata Bernh.,Elaeagnus commutata,Bernh.,Elaeagnus commutata,1.49,0.745,1457.22,728.61,1,28,Leiden hort.,n,"Zonneveld, 2019"
Euphorbia characias L.,Euphorbia characias,L.,Euphorbia characias,6.48,3.24,6337.44,3168.72,1,20,Leiden hort.,n,"Zonneveld, 2019"
Ficus carica L.,Ficus carica,L.,Ficus carica,0.79,0.395,772.62,386.31,3,26,Leiden hort.,n,"Zonneveld, 2019"
Fraxinus excelsior L.,Fraxinus excelsior,L.,Fraxinus excelsior,1.84,0.92,1799.52,899.76,2,46,Leiden hort.,n,"Zonneveld, 2019"
Gaultheria procumbens L.,Gaultheria procumbens,L.,Gaultheria procumbens,2.39,1.195,2337.42,1168.71,2,38,Leiden hort.,n,"Zonneveld, 2019"
Glycine max (L.) Merr.,Glycine max,(L.) Merr.,Glycine max,2.51,1.255,2454.78,1227.39,1,40,Leiden hort.,n,"Zonneveld, 2019"
Helianthus annuus L.,Helianthus annuus,L.,Helianthus annuus,6.85,3.425,6699.30,3349.65,4,34,Leiden hort.,n,"Zonneveld, 2019"
Helleborus foetidus L.,Helleborus foetidus,L.,Helleborus foetidus,23.3,11.65,22787.40,11393.70,2,32,Leiden hort.,n,"Zonneveld, 2019"
Helleborus viridis L.,Helleborus viridis,L.,Helleborus viridis,30.6,15.3,29926.80,14963.40,2,32,Leiden hort.,n,"Zonneveld, 2019"
Hyssopus officinalis L.,Hyssopus officinalis,L.,Hyssopus officinalis,0.95,0.475,929.10,464.55,2,12,Leiden hort.,n,"Zonneveld, 2019"
Ilex aquifolium L.,Ilex aquifolium,L.,Ilex aquifolium,1.87,0.935,1828.86,914.43,1,40,Leiden hort.,n,"Zonneveld, 2019"
Jacobaea maritima (L.) Pelser & Meijden,Jacobaea maritima,(L.) Pelser & Meijden,Jacobaea maritima,4.99,2.495,4880.22,2440.11,1,40,Leiden hort.,n,"Zonneveld, 2019"
Juglans regia L.,Juglans regia,L.,Juglans regia,1.33,0.665,1300.74,650.37,3,32,Leiden hort.,n,"Zonneveld, 2019"
Ligustrum ovalifolium Hassk.,Ligustrum ovalifolium,Hassk.,Ligustrum ovalifolium,2.93,1.465,2865.54,1432.77,1,46,Leiden hort.,n,"Zonneveld, 2019"
Ligustrum vulgare L.,Ligustrum vulgare,L.,Ligustrum vulgare,3.41,1.705,3334.98,1667.49,1,46,Leiden hort.,n,"Zonneveld, 2019"
Lonicera nitida E.H. Wilson,Lonicera nitida,E.H. Wilson,Lonicera nitida,1.99,0.995,1946.22,973.11,2,18,Leiden hort.,n,"Zonneveld, 2019"
Luzula sylvatica (Huds.) Gaudin,Luzula sylvatica,(Huds.) Gaudin,Luzula sylvatica,1.42,0.71,1388.76,694.38,1,12,Leiden hort.,n,"Zonneveld, 2019"
Lycium barbarum L.,Lycium barbarum,L.,Lycium barbarum,5.84,2.92,5711.52,2855.76,4,24,Leiden hort.,n,"Zonneveld, 2019"
Lysimachia punctata L.,Lysimachia punctata,L.,Lysimachia punctata,4.53,2.265,4430.34,2215.17,7,30,Leiden hort.,n,"Zonneveld, 2019"
Mentha spicata L.,Mentha spicata,L.,Mentha spicata,1.5,0.75,1467.00,733.50,3,36,Leiden hort. AH,n,"Zonneveld, 2019"
Campanula medium L.,Campanula medium,L.,Campanula medium,3.54,1.77,3462.12,1731.06,1,34,Leiden hort. Double flow.,n,"Zonneveld, 2019"
Lycium chinense Mill.,Lycium chinense,Mill.,Lycium chinense,4.01,2.005,3921.78,1960.89,3,"24 (36, 48)",Leiden hort. Gojibes,n,"Zonneveld, 2019"
Gypsophila paniculata L.,Gypsophila paniculata,L.,Gypsophila paniculata,3.01,1.505,2943.78,1471.89,2,34,Leiden hort.double flow.,n,"Zonneveld, 2019"
Alisma lanceolatum With.,Alisma lanceolatum,With.,Alisma lanceolatum,44.4,22.2,43423.20,21711.60,2,28,Leiden hybrid?,n,"Zonneveld, 2019"
Laburnum anagyroides Medik.,Laburnum anagyroides,Medik.,Laburnum anagyroides,2.57,1.285,2513.46,1256.73,2,48,Leiden J. v.KampenIaan,n,"Zonneveld, 2019"
Alliaria petiolata (M. Bieb.) Cavara & Grande,Alliaria petiolata,(M. Bieb.) Cavara & Grande,Alliaria petiolata,2.3,1.15,2249.40,1124.70,2,"36,42",Leiden K. Vlietkanaal,n,"Zonneveld, 2019"
Allium paradoxum (M. Bieb.) G. Don,Allium paradoxum,(M. Bieb.) G. Don,Allium paradoxum,55.4,27.7,54181.20,27090.60,2,16,Leiden K. Vlietkanaal,n,"Zonneveld, 2019"
Castanea sativa Mill.,Castanea sativa,Mill.,Castanea sativa,1.68,0.84,1643.04,821.52,3,"22, 24",Leiden K. Vlietkanaal,n,"Zonneveld, 2019"
Chaerophyllum temulum L.,Chaerophyllum temulum,L.,Chaerophyllum temulum,4.81,2.405,4704.18,2352.09,3,"14, 22",Leiden K. Vlietkanaal,n,"Zonneveld, 2019"
Galium aparine L.,Galium aparine,L.,Galium aparine,2.05,1.025,2004.90,1002.45,2,22-88,Leiden K. Vlietkanaal,n,"Zonneveld, 2019"
Heracleum sphondylium L.,Heracleum sphondylium,L.,Heracleum sphondylium,4.51,2.255,4410.78,2205.39,4,22,Leiden K. Vlietkanaal,n,"Zonneveld, 2019"
Papaver rhoeas L.,Papaver rhoeas,L.,Papaver rhoeas,5.2,2.6,5085.60,2542.80,7,14,Leiden K. Vlietkanaal,n,"Zonneveld, 2019"
Phalaris arundinacea L.,Phalaris arundinacea,L.,Phalaris arundinacea,10.2,5.1,9975.60,4987.80,6,28,Leiden K. Vlietkanaal,n,"Zonneveld, 2019"
Tanacetum vulgare L.,Tanacetum vulgare,L.,Tanacetum vulgare,10.1,5.05,9877.80,4938.90,2,18,Leiden K. Vlietkanaal,n,"Zonneveld, 2019"
Viola odorata L.,Viola odorata,L.,Viola odorata,1.57,0.785,1535.46,767.73,4,20,Leiden K. Vlietkanaal,n,"Zonneveld, 2019"
Vulpia myuros (L.) C.C. Gmel.,Vulpia myuros,(L.) C.C. Gmel.,Vulpia myuros,13.3,6.65,13007.40,6503.70,4,14 (28) 42,Leiden K. Vlietkanaal,n,"Zonneveld, 2019"
Lonicera xylosteum L.,Lonicera xylosteum,L.,Lonicera xylosteum,1.81,0.905,1770.18,885.09,1,18,Leiden K.VIietkanaaI,n,"Zonneveld, 2019"
Barbarea vulgaris W.T. Aiton,Barbarea vulgaris,W.T. Aiton,Barbarea vulgaris,0.57,0.285,557.46,278.73,3,16,Leiden K.Vlietkanaal,n,"Zonneveld, 2019"
Geranium pyrenaicum Burm. f.,Geranium pyrenaicum,Burm. f.,Geranium pyrenaicum,2.79,1.395,2728.62,1364.31,2,28,Leiden K.Vlietkanaal,n,"Zonneveld, 2019"
Rumex acetosa L.,Rumex acetosa,L.,Rumex acetosa,6.85,3.425,6699.30,3349.65,1,14/15,Leiden K.Vlietkanaal,n,"Zonneveld, 2019"
Allium ursinum L.,Allium ursinum,L.,Allium ursinum,62,31,60636.00,30318.00,3,14,Leiden Kanaal,n,"Zonneveld, 2019"
Atriplex prostrata Boucher ex DC. ,Atriplex prostrata,Boucher ex DC. ,Atriplex prostrata,1.87,0.935,1828.86,914.43,9,18,Leiden Kanaal,n,"Zonneveld, 2019"
Butomus umbellatus L.,Butomus umbellatus,L.,Butomus umbellatus,12.5,6.25,12225.00,6112.50,3,"26, 39",Leiden Kanaal,n,"Zonneveld, 2019"
Lamium amplexicaule L.,Lamium amplexicaule,L.,Lamium amplexicaule,1.26,0.63,1232.28,616.14,1,18,Leiden Kanaal,n,"Zonneveld, 2019"
Nymphaea alba L.,Nymphaea alba,L.,Nymphaea alba,4.46,2.23,4361.88,2180.94,4,84,Leiden Kanaal,n,"Zonneveld, 2019"
Plantago lanceolata L.,Plantago lanceolata,L.,Plantago lanceolata,2.76,1.38,2699.28,1349.64,4,12 (24),Leiden Kanaal,n,"Zonneveld, 2019"
Ranunculus circinatus Sibth.,Ranunculus circinatus,Sibth.,Ranunculus circinatus,5.94,2.97,5809.32,2904.66,1,16,Leiden Kanaal,n,"Zonneveld, 2019"
Sisymbrium officinale (L.) Scop.,Sisymbrium officinale,(L.) Scop.,Sisymbrium officinale,0.65,0.325,635.70,317.85,2,14,Leiden kanaal,n,"Zonneveld, 2019"
Trifolium pratense L.,Trifolium pratense,L.,Trifolium pratense,1.14,0.57,1114.92,557.46,2,14,Leiden Kanaal,n,"Zonneveld, 2019"
Trifolium repens L.,Trifolium repens,L.,Trifolium repens,2.23,1.115,2180.94,1090.47,3,16,Leiden Kanaal,n,"Zonneveld, 2019"
Acer campestre L.,Acer campestre,L.,Acer campestre,1.4,0.7,1369.20,684.60,1,26,Leiden Kennedylaan,n,"Zonneveld, 2019"
Doronicum pardalianches L.,Doronicum pardalianches,L.,Doronicum pardalianches,6.76,3.38,6611.28,3305.64,1,60,Leiden Kennedylaan,n,"Zonneveld, 2019"
Verbascum nigrum L.,Verbascum nigrum,L.,Verbascum nigrum,0.81,0.405,792.18,396.09,2,30,Leiden Kennedylaan,n,"Zonneveld, 2019"
Lactuca virosa L.,Lactuca virosa,L.,Lactuca virosa,7.84,3.92,7667.52,3833.76,4,18,Leiden Kiljanpad,n,"Zonneveld, 2019"
Anisantha diandra (Roth) Tutin ex Tzvelev,Anisantha diandra,(Roth) Tutin ex Tzvelev,Anisantha diandra,24.4,12.2,23863.20,11931.60,1,56,Leiden Koppelstein,n,"Zonneveld, 2019"
Carex flacca Schreb.,Carex flacca,Schreb.,Carex flacca,2.44,1.22,2386.32,1193.16,3,76,Leiden Koppelstein,n,"Zonneveld, 2019"
Cruciata laevipes Opiz.,Cruciata laevipes,Opiz.,Cruciata laevipes,0.71,0.355,694.38,347.19,2,22,Leiden Koppelstein,n,"Zonneveld, 2019"
Galinsoga quadriradiata Ruiz & Pav.,Galinsoga quadriradiata,Ruiz & Pav.,Galinsoga quadriradiata,4.14,2.07,4048.92,2024.46,4,32,Leiden Lammenschans,n,"Zonneveld, 2019"
Stellaria media (L.) Vill.,Stellaria media,(L.) Vill.,Stellaria media,2.06,1.03,2014.68,1007.34,6,44,Leiden Lammenschans,n,"Zonneveld, 2019"
Humulus lupulus L.,Humulus lupulus,L.,Humulus lupulus,5.68,2.84,5555.04,2777.52,7,20,Leiden Lammeschans,n,"Zonneveld, 2019"
Oenothera biennis L.,Oenothera biennis,L.,Oenothera biennis,2.31,1.155,2259.18,1129.59,3,14,Leiden Lammeschans,n,"Zonneveld, 2019"
Circaea lutetiana L.,Circaea lutetiana,L.,Circaea lutetiana,1.14,0.57,1114.92,557.46,4,22,Leiden Leidse hout,n,"Zonneveld, 2019"
Potentilla intermedia L.,Potentilla intermedia,L.,Potentilla intermedia,2.15,1.075,2102.70,1051.35,1,"28, 42, 56",Leiden Maresingel,n,"Zonneveld, 2019"
Portulaca oleracea L.,Portulaca oleracea,L.,Portulaca oleracea,2.72,1.36,2660.16,1330.08,4,"18, 54",Leiden markt,n,"Zonneveld, 2019"
Rhinanthus angustifolius C.C. Gmel.,Rhinanthus angustifolius,C.C. Gmel.,Rhinanthus angustifolius,2.7,1.35,2640.60,1320.30,2,22,Leiden Merewljk,n,"Zonneveld, 2019"
Aphanes australis Rydb.,Aphanes australis,Rydb.,Aphanes australis,0.85,0.425,831.30,415.65,4,16,Leiden Molen de Valk,n,"Zonneveld, 2019"
Eragrostis minor Host,Eragrostis minor,Host,Eragrostis minor,1.64,0.82,1603.92,801.96,8,20-80,Leiden Nieuwenhuizenw.,n,"Zonneveld, 2019"
Sagina apetala Ard.,Sagina apetala,Ard.,Sagina apetala,0.95,0.475,929.10,464.55,4,12,Leiden Nieuwenhuizenw.,n,"Zonneveld, 2019"
Setaria viridis (L.) P. Beauv.,Setaria viridis,(L.) P. Beauv.,Setaria viridis,1.05,0.525,1026.90,513.45,2,"18, 36",Leiden Nieuwenhuizenw.,n,"Zonneveld, 2019"
Barbarea intermedia Boreau,Barbarea intermedia,Boreau,Barbarea intermedia,0.47,0.235,459.66,229.83,2,16,Leiden Ommedijkse weg,n,"Zonneveld, 2019"
Rapistrum rugosum (L.) Bergeret,Rapistrum rugosum,(L.) Bergeret,Rapistrum rugosum,1.25,0.625,1222.50,611.25,1,16,Leiden Ommedijkse weg,n,"Zonneveld, 2019"
Verbena officinalis L.,Verbena officinalis,L.,Verbena officinalis,0.66,0.33,645.48,322.74,1,14,Leiden onderweg,n,"Zonneveld, 2019"
Lysimachia vulgaris L.,Lysimachia vulgaris,L.,Lysimachia vulgaris,8.59,4.295,8401.02,4200.51,3,(42) 84,Leiden park,n,"Zonneveld, 2019"
Scrophularia nodosa L.,Scrophularia nodosa,L.,Scrophularia nodosa,1.54,0.77,1506.12,753.06,1,36,Leiden park,n,"Zonneveld, 2019"
Polycarpon tetraphyllum (L.) L.,Polycarpon tetraphyllum,(L.) L.,Polycarpon tetraphyllum,1.44,0.72,1408.32,704.16,6,54,Leiden Rapenburg,n,"Zonneveld, 2019"
Digitaria ischaemum (Schreb. ex Schweigg.) Muhl.,Digitaria ischaemum,(Schreb. ex Schweigg.) Muhl.,Digitaria ischaemum,2.05,1.025,2004.90,1002.45,2,"36, 45",Leiden Rhynhof,n,"Zonneveld, 2019"
Linaria vulgaris Mill.,Linaria vulgaris,Mill.,Linaria vulgaris,1.57,0.785,1535.46,767.73,1,12,Leiden Rooseveltstraat,n,"Zonneveld, 2019"
Centranthus ruber (L.) DC.,Centranthus ruber,(L.) DC.,Centranthus ruber,1.18,0.59,1154.04,577.02,2,32,Leiden Roseveltstr.,n,"Zonneveld, 2019"
Setaria pumila (Poir.) Roem. & Schult.,Setaria pumila,(Poir.) Roem. & Schult.,Setaria pumila,2.57,1.285,2513.46,1256.73,2,"36, 72",Leiden school,n,"Zonneveld, 2019"
Acer platanoides L.,Acer platanoides,L.,Acer platanoides,1.45,0.725,1418.10,709.05,5,26,Leiden Schubertlaan,n,"Zonneveld, 2019"
Acer pseudoplatanus L.,Acer pseudoplatanus,L.,Acer pseudoplatanus,2.78,1.39,2718.84,1359.42,2,52,Leiden Schubertlaan,n,"Zonneveld, 2019"
Achillea ptarmica L.,Achillea ptarmica,L.,Achillea ptarmica,7.17,3.585,7012.26,3506.13,5,18,Leiden Schubertlaan,n,"Zonneveld, 2019"
Adiantum raddianum Presl,Adiantum raddianum,Presl,Adiantum raddianum,17.9,8.95,17506.20,8753.10,2,120,Leiden Schubertlaan,n,"Zonneveld, 2019"
Alcea rosea L.,Alcea rosea,L.,Alcea rosea,2.62,1.31,2562.36,1281.18,2,26-56,Leiden Schubertlaan,n,"Zonneveld, 2019"
Alopecurus aequalis Sobol.,Alopecurus aequalis,Sobol.,Alopecurus aequalis,7.06,3.53,6904.68,3452.34,2,14,Leiden Schubertlaan,n,"Zonneveld, 2019"
Angelica archangelica L.,Angelica archangelica,L.,Angelica archangelica,6.41,3.205,6268.98,3134.49,4,22,Leiden Schubertlaan,n,"Zonneveld, 2019"
Arabidopsis arenosa (L.) Lawalrée,Arabidopsis arenosa,(L.) Lawalrée,Arabidopsis arenosa,0.85,0.425,831.30,415.65,2,"16, 18, 32",Leiden Schubertlaan,n,"Zonneveld, 2019"
Arum italicum L.,Arum italicum,L.,Arum italicum,28,14,27384.00,13692.00,15,84,Leiden Schubertlaan,n,"Zonneveld, 2019"
Berberis vulgaris L.,Berberis vulgaris,L.,Berberis vulgaris,3.48,1.74,3403.44,1701.72,4,28,Leiden Schubertlaan,n,"Zonneveld, 2019"
Buxus sempervirens L.,Buxus sempervirens,L.,Buxus sempervirens,1.57,0.785,1535.46,767.73,3,,Leiden Schubertlaan,n,"Zonneveld, 2019"
Campanula poscharskyana Degen.,Campanula poscharskyana,Degen.,Campanula poscharskyana,2.84,1.42,2777.52,1388.76,3,34,Leiden Schubertlaan,n,"Zonneveld, 2019"
Cardamine pratensis L.,Cardamine pratensis,L.,Cardamine pratensis,1.65,0.825,1613.70,806.85,20,30-72,Leiden Schubertlaan,n,"Zonneveld, 2019"
Centaurea cyanus L.,Centaurea cyanus,L.,Centaurea cyanus,1.66,0.83,1623.48,811.74,1,24,Leiden Schubertlaan,n,"Zonneveld, 2019"
Centaurium erythraea Rafn.,Centaurium erythraea,Rafn.,Centaurium erythraea,2.14,1.07,2092.92,1046.46,3,40,Leiden Schubertlaan,n,"Zonneveld, 2019"
Chaenomeles japonica (Thunb.) Spach,Chaenomeles japonica,(Thunb.) Spach,Chaenomeles japonica,1.43,0.715,1398.54,699.27,1,34,Leiden Schubertlaan,n,"Zonneveld, 2019"
Clematis vitalba L.,Clematis vitalba,L.,Clematis vitalba,20.2,10.1,19755.60,9877.80,2,16,Leiden Schubertlaan,n,"Zonneveld, 2019"
Convallaria majalis L.,Convallaria majalis,L.,Convallaria majalis,37.5,18.75,36675.00,18337.50,11,"32, 36, 38",Leiden Schubertlaan,n,"Zonneveld, 2019"
"Cymbalaria muralis P. Gaertn., B. Mey. & Scherb.",Cymbalaria muralis,"P. Gaertn., B. Mey. & Scherb.",Cymbalaria muralis,0.98,0.49,958.44,479.22,2,14,Leiden Schubertlaan,n,"Zonneveld, 2019"
Galanthus ikariae Baker,Galanthus ikariae,Baker,Galanthus ikariae,68.7,34.35,67188.60,33594.30,6,24,Leiden Schubertlaan,n,"Zonneveld, 2019"
Galanthus nivalis L.,Galanthus nivalis,L.,Galanthus nivalis,72.2,36.1,70611.60,35305.80,25,24-48,Leiden Schubertlaan,n,"Zonneveld, 2019"
Galanthus plicatus M. Bieb.,Galanthus plicatus,M. Bieb.,Galanthus plicatus,55.6,27.8,54376.80,27188.40,8,24,Leiden Schubertlaan,n,"Zonneveld, 2019"
Galanthus woronowii Losinsk.,Galanthus woronowii,Losinsk.,Galanthus woronowii,56.4,28.2,55159.20,27579.60,14,24,Leiden Schubertlaan,n,"Zonneveld, 2019"
Galium odoratum (L.) Scop.,Galium odoratum,(L.) Scop.,Galium odoratum,1.77,0.885,1731.06,865.53,6,(22) 44,Leiden Schubertlaan,n,"Zonneveld, 2019"
Geranium endressii J. Gay,Geranium endressii,J. Gay,Geranium endressii,3.13,1.565,3061.14,1530.57,2,"26, 28",Leiden Schubertlaan,n,"Zonneveld, 2019"
Geranium robertianum L.,Geranium robertianum,L.,Geranium robertianum,2.53,1.265,2474.34,1237.17,10,32,Leiden Schubertlaan,n,"Zonneveld, 2019"
Geranium rotundifolium L.,Geranium rotundifolium,L.,Geranium rotundifolium,1.14,0.57,1114.92,557.46,3,26,Leiden Schubertlaan,n,"Zonneveld, 2019"
Geum urbanum L.,Geum urbanum,L.,Geum urbanum,3.13,1.565,3061.14,1530.57,2,42,Leiden Schubertlaan,n,"Zonneveld, 2019"
Ginkgo biloba L.,Ginkgo biloba,L.,Ginkgo biloba,22.3,11.15,21809.40,10904.70,5,24,Leiden Schubertlaan,n,"Zonneveld, 2019"
Hedera helix L.,Hedera helix,L.,Hedera helix,3.02,1.51,2953.56,1476.78,28,48,Leiden Schubertlaan,n,"Zonneveld, 2019"
Helleborus orientalis Lam.,Helleborus orientalis,Lam.,Helleborus orientalis,30,15,29340.00,14670.00,6,32,Leiden Schubertlaan,n,"Zonneveld, 2019"
Impatiens glandulifera Royle,Impatiens glandulifera,Royle,Impatiens glandulifera,1.96,0.98,1916.88,958.44,4,18,Leiden Schubertlaan,n,"Zonneveld, 2019"
Jasminum nudiflorum Lindl.,Jasminum nudiflorum,Lindl.,Jasminum nudiflorum,2.09,1.045,2044.02,1022.01,3,"26, 52",Leiden Schubertlaan,n,"Zonneveld, 2019"
Lathyrus pratensis L.,Lathyrus pratensis,L.,Lathyrus pratensis,11.6,5.8,11344.80,5672.40,4,"14,28",Leiden Schubertlaan,n,"Zonneveld, 2019"
Lunaria annua L.,Lunaria annua,L.,Lunaria annua,0.95,0.475,929.10,464.55,2,30,Leiden Schubertlaan,n,"Zonneveld, 2019"
Lunaria rediviva L.,Lunaria rediviva,L.,Lunaria rediviva,0.77,0.385,753.06,376.53,2,"28, 30",Leiden Schubertlaan,n,"Zonneveld, 2019"
Lythrum salicaria L.,Lythrum salicaria,L.,Lythrum salicaria,3.3,1.65,3227.40,1613.70,5,60,Leiden Schubertlaan,n,"Zonneveld, 2019"
Malva alcea L.,Malva alcea,L.,Malva alcea,10.6,5.3,10366.80,5183.40,5,84,Leiden Schubertlaan,n,"Zonneveld, 2019"
Matricaria chamomilla L.,Matricaria chamomilla,L.,Matricaria chamomilla,5.67,2.835,5545.26,2772.63,1,18,Leiden Schubertlaan,n,"Zonneveld, 2019"
Matricaria discoidea DC.,Matricaria discoidea,DC.,Matricaria discoidea,4.75,2.375,4645.50,2322.75,2,18,Leiden Schubertlaan,n,"Zonneveld, 2019"
Allium carinatum L.,Allium carinatum,L.,Allium carinatum,47.1,23.55,46063.80,23031.90,1,"16, 24",Leiden Schubertlaan front,n,"Zonneveld, 2019"
Cerastium tomentosum L.,Cerastium tomentosum,L.,Cerastium tomentosum,2.68,1.34,2621.04,1310.52,4,72,Leiden Schubertlaan.,n,"Zonneveld, 2019"
Chenopodium album L.,Chenopodium album,L.,Chenopodium album,3.54,1.77,3462.12,1731.06,11,(36) 54,Leiden Schubertlaan.,n,"Zonneveld, 2019"
Glyceria notata Chevall.,Glyceria notata,Chevall.,Glyceria notata,2.62,1.31,2562.36,1281.18,6,40,Leiden spar LDU det.,n,"Zonneveld, 2019"
Centaurea scabiosa L.,Centaurea scabiosa,L.,Centaurea scabiosa,3.47,1.735,3393.66,1696.83,2,20,Leiden station,n,"Zonneveld, 2019"
Catalpa bignonioides Walter,Catalpa bignonioides,Walter,Catalpa bignonioides,2.12,1.06,2073.36,1036.68,2,40,Leiden Sterflat,n,"Zonneveld, 2019"
Populus alba L.,Populus alba,L.,Populus alba,0.96,0.48,938.88,469.44,1,"38, 57",Leiden Sterflat,n,"Zonneveld, 2019"
Anthoxanthum odoratum L.,Anthoxanthum odoratum,L.,Anthoxanthum odoratum,13.1,6.55,12811.80,6405.90,2,20,Leiden Sylvius,n,"Zonneveld, 2019"
